epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.4580112099647522,0.07120172679424286,0.07665453106164932,0.2645223140716553,0.0033871963620185856,0.004532476514577866,0.018537377938628197,0.021656759083271027,0.043300967663526535,0.006153954192996025,4.04615915613249e-05,9.779774118214846e-05
2,0.010833806358277798,0.007173230405896902,0.011874022893607616,0.0016026154160499574,2.0713472622446716e-05,5.946333985775709e-05,0.00955903995782137,0.004286253824830055,0.007842344231903553,0.0006726089864969254,1.053873056662269e-05,2.532204380258918e-05
3,0.005190769210457802,0.0020604529418051243,0.002716352930292487,0.0004942004103213549,1.0209465108346195e-05,2.3959923419170084e-05,0.008845849893987179,0.002656982745975256,0.0031509960535913706,0.0014755840413272381,7.66357989050448e-06,4.492496664170176e-05
4,0.004985887091606855,0.003249491099268198,0.005984753370285034,0.0007884286344051362,9.112877160077915e-06,2.0735980069730434e-05,0.0031052096746861935,0.001346890814602375,0.0012068725191056728,0.001521654985845089,7.026264211162925e-06,8.467055158689618e-06
5,0.0031529313419014215,0.000776386761572212,0.0009278765646740794,0.0005275408271700144,5.398767461883836e-06,1.1030733730876818e-05,0.004112151451408863,0.0009226614492945373,0.000840524910017848,0.0012225563637912275,9.04565749806352e-06,2.3072738258633763e-05
6,0.0031274997163563967,0.0008163367747329175,0.0006461563752964139,0.0008292576298117639,4.907238690066151e-06,1.0766378545667976e-05,0.0046044629998505116,0.0007185448775999248,0.0012945315102115273,0.0018663782626390458,6.983179628150538e-06,2.2919887851458046e-05
7,0.0032502817921340466,0.0016388880321756005,0.0013932270230725408,0.0005197842605412006,4.821367474505678e-06,8.901926048565657e-06,0.005267241038382053,0.0015263077802956104,0.0013484859373420477,0.0019310824573040009,5.002504258300178e-06,5.278716344037093e-06
8,0.004074957687407732,0.004421401768922806,0.007473671343177557,0.0009678521193563939,9.959573799278588e-06,1.5521219756919892e-05,0.0032053992617875338,0.010679639875888824,0.005068220663815737,0.0024144139140844347,6.194194429554046e-06,1.0961959196720274e-05
9,0.002932928502559662,0.0026586176827549934,0.0010950821451842785,0.00047470894642174247,6.3035840867087245e-06,1.0210771870333702e-05,0.002016083337366581,0.0003070785605814308,0.0004456790047697723,7.469324627891184e-05,2.1052306692581625e-06,5.325237725628541e-06
10,0.0029156638775020838,0.0006130379042588174,0.0012619434855878353,0.00013672896893694998,2.3457085262634794e-06,1.0175180068472401e-05,0.003460991894826293,0.0010262683499604464,0.006245803087949753,0.00033435041550546887,3.66265194315929e-06,3.0722847441211345e-06
11,0.003074292792007327,0.0016882154159247875,0.0032486608251929283,0.0005414139479398728,4.620310573955067e-06,1.1023920524166898e-05,0.0026153516955673695,0.0017048747977241874,0.004270811565220356,0.00045614452101290227,7.85666998126544e-06,2.2414076374843718e-05
12,0.002342735417187214,0.0005230905953794718,0.0010106011759489775,0.0002716146176680923,2.9491255190805535e-06,9.261844388674946e-06,0.0020472025498747826,0.0003350422193761915,0.0016327195335179567,5.136750405654311e-05,2.067242894554511e-06,3.090822428930551e-06
13,0.002300275256857276,0.00036911890492774546,0.00042585402843542397,0.00012760357931256296,1.605550824024249e-06,6.786227459087968e-06,0.0018131919205188751,0.0005891256150789559,0.0002944085863418877,0.00024849243927747014,3.586406819522381e-06,2.0807881810469555e-06
14,0.0018114377744495869,0.0001992801990127191,0.00012294626503717154,3.9463155553676193e-05,1.0166178981307894e-06,2.6229081413475797e-06,0.001424022950232029,0.00021582799672614783,8.284804061986506e-05,8.613273384980858e-05,6.929160008439795e-07,1.9378978322492914e-06
15,0.0017027512658387423,0.00015917154087219387,7.90483973105438e-05,2.8333684895187616e-05,8.467357474728488e-07,2.3037167920847427e-06,0.0014773202128708363,0.00012346712173894048,5.82028878852725e-05,1.1106254532933235e-05,7.149622433644254e-07,3.749660754692741e-06
16,0.0016931031132116914,0.00014384774840436876,0.00012086283095413819,1.7023549298755827e-05,7.223759894259274e-07,2.288343785039615e-06,0.0015314690535888076,0.00012204964878037572,0.00012356173829175532,2.166496415156871e-05,6.643059350608383e-07,1.4094130165176466e-06
17,0.0018078924622386694,0.00015984971832949668,8.815962064545602e-05,3.6300523788668215e-05,8.568568773625885e-07,4.486707257456146e-06,0.002152344910427928,0.00016199116362258792,0.00020075481734238565,3.4400398726575075e-05,6.128921086201444e-07,1.5744999473099597e-06
18,0.001747851725667715,0.0001284896716242656,9.43645354709588e-05,2.1532352548092604e-05,8.103773325274233e-07,3.023956560355146e-06,0.0018456700490787625,0.0001725774782244116,0.00023853193852119148,3.0840723775327204e-05,7.867532985983417e-07,4.746181730297394e-06
19,0.001763009000569582,0.0002342172956559807,0.00036573054967448115,2.8260506223887208e-05,7.439700311806519e-07,3.899248986272142e-06,0.0014840674120932817,0.0002541677968110889,0.0007995731430128217,1.8735135381575677e-05,1.246481406269595e-06,2.2827720385976135e-06
20,0.001544854138046503,0.00010946228576358408,0.00010265076707582921,9.434701496502385e-06,5.789570423075929e-07,1.4310764527181165e-06,0.0014265163335949183,7.694250234635547e-05,4.4379456085152924e-05,2.44015347561799e-05,4.631917818187503e-07,1.0501537872187328e-06
21,0.0015601295745000243,9.128112287726253e-05,5.055760993855074e-05,7.717075641267002e-06,4.923844699078473e-07,1.5761741451569833e-06,0.0013047646498307586,0.0001245155290234834,5.4306743550114334e-05,5.584981408901513e-06,5.212334599491442e-07,3.7525722291320565e-06
22,0.0015188842080533504,9.727393626235425e-05,5.834040712215938e-05,6.355487130349502e-06,5.034501100453781e-07,1.5601730410708116e-06,0.0013619535602629185,8.126811007969081e-05,3.58160468749702e-05,6.012640369590372e-06,4.5053807298245377e-07,1.7682001271168702e-06
23,0.001537045929580927,9.181049244944006e-05,5.249164314591326e-05,6.999891047598795e-06,5.286320629238616e-07,1.1713700587279163e-06,0.0013216459192335606,8.327145042130724e-05,4.834047649637796e-05,1.0350951924920082e-05,5.688642431778135e-07,1.0197447409154847e-06
24,0.0015743141993880272,0.00010063603258458897,5.378006972023286e-05,9.897957352222876e-06,4.698207249020925e-07,1.728035931591876e-06,0.0014965255977585912,0.00011810856085503474,4.416163938003592e-05,2.2157818602863702e-05,5.990353656670778e-07,1.0410138202132658e-06
25,0.0015780661487951875,0.00011264060594839975,8.609681390225887e-05,1.0700608982006088e-05,4.822074515686837e-07,2.1371684852056206e-06,0.0014532048953697085,0.00011175670078955591,7.45673751225695e-05,2.1695777832064778e-05,3.917783487850102e-07,1.253740720130736e-06
26,0.001758833765052259,0.00011760584311559796,9.96974267764017e-05,1.0773637768579647e-05,4.7128914957284e-07,2.4286211555590855e-06,0.001489762682467699,0.0001732812961563468,0.0004179947718512267,2.8604743420146406e-05,4.979456207365729e-07,5.3780782764079054e-06
27,0.0014973330544307828,8.172114030458033e-05,5.0663118599914014e-05,6.943110201973468e-06,3.7317001897463344e-07,1.5189362784440164e-06,0.0012775924988090992,7.206528971437365e-05,3.586936873034574e-05,4.058293052366935e-06,3.402729134904803e-07,8.981616701930762e-07
28,0.0014747031964361668,7.610814645886421e-05,3.5258148272987455e-05,4.974367038812489e-06,3.640891463874141e-07,1.058188809111016e-06,0.0013587933499366045,7.395057764369994e-05,3.783453212236054e-05,6.051950185792521e-06,4.156339400651632e-07,9.917748684529215e-07
29,0.001525167841464281,8.387849811697379e-05,4.218252070131712e-05,6.641905929427595e-06,3.674164418043802e-07,1.4003248907101806e-06,0.0012828436447307467,7.196701335487887e-05,3.838887278106995e-05,8.540265116607771e-06,3.904127879650332e-07,5.073734428151511e-07
30,0.0014933334896340966,7.75190201238729e-05,3.997023668489419e-05,4.502039519138634e-06,3.4080035220540595e-07,1.0272080544382333e-06,0.001378384418785572,0.0001131785029429011,5.509430411620997e-05,7.264605665113777e-06,3.4305458029848523e-07,2.3172629880718888e-06
31,0.0015194449806585908,8.181901648640633e-05,4.0725986764300615e-05,6.694142211927101e-06,3.7064951357024257e-07,1.5707260899944232e-06,0.0013441373594105244,0.00010661166743375361,3.526661021169275e-05,6.635709723923355e-06,3.9094952626328454e-07,2.5080940758925863e-06
