epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.4641047418117523,0.20393213629722595,0.0974544957280159,1.3738112449645996,0.005261645093560219,0.006874355673789978,0.01644657552242279,0.047099243849515915,0.01756426878273487,0.043081507086753845,4.4342566980049014e-05,0.0002006969414651394
2,0.00794203020632267,0.01445597130805254,0.009437359869480133,0.006822152528911829,2.9645676841028037e-05,0.00011618367861956359,0.004790116101503372,0.01028549112379551,0.016770940274000168,0.007793989032506943,1.671981444815174e-05,3.825511666946113e-05
3,0.004024206660687923,0.005521952640265226,0.004958495032042265,0.004378566984087229,1.366550277452916e-05,2.9322109185159206e-05,0.00616432586684823,0.011169612407684326,0.003838686039671302,0.01326803583651781,1.5834497753530743e-05,1.9148619321640582e-05
4,0.0033642330672591925,0.0039693438448011875,0.0033382601104676723,0.0034688706509768963,1.0911960271187128e-05,1.831346598919481e-05,0.002023964887484908,0.0027216924354434013,0.0009651290019974113,0.004295030143111944,5.986428368487396e-06,1.0653884964995087e-05
5,0.0022345627658069134,0.001990973949432373,0.0016271888744086027,0.001574639230966568,5.58487736270763e-06,1.2540364696178586e-05,0.0018500876612961292,0.0013723017182201147,0.0008713395800441504,0.001365435542538762,3.7986777897458527e-06,8.893404447007924e-06
6,0.001842477242462337,0.0017129287589341402,0.0010054234880954027,0.002140688942745328,4.9464448238722985e-06,1.2394294026307762e-05,0.0017335244920104742,0.0008987264591269195,0.0014403766253963113,0.0002676596341188997,3.2023875974118713e-06,7.91513011790812e-06
7,0.0018446729518473148,0.00259573757648468,0.0023738122545182705,0.0016803732141852379,5.008090374758468e-06,7.781623571645468e-06,0.0026139498222619295,0.003870835993438959,0.002887254348024726,0.01753215864300728,6.110218237154186e-06,1.8312201427761467e-05
8,0.0036548522766679525,0.006510877516120672,0.004623736720532179,0.006207937374711037,1.0504890087759123e-05,6.523438496515155e-05,0.0016697226092219353,0.010149823501706123,0.0015065149636939168,0.0008320978377014399,2.9597886168630794e-06,8.393860480282457e-06
9,0.0015853254590183496,0.002216167515143752,0.0016293773660436273,0.000634979282040149,3.035982444998808e-06,5.715034421882593e-06,0.0011841394007205963,0.0012690682196989655,0.0008513068314641714,0.0012897690758109093,2.8076772650820206e-06,3.794262738665566e-06
10,0.0014637891435995698,0.0019410133827477694,0.0010673138312995434,0.0009041716111823916,2.682106787688099e-06,5.277295349515044e-06,0.0015900878934189677,0.003878544783219695,0.00662838714197278,0.000404480000725016,3.7667861761292444e-06,6.9904199335724115e-06
11,0.0010983784450218081,0.0005975840031169355,0.0007067755213938653,0.00020257798314560205,1.8841028577298857e-06,3.522189217619598e-06,0.0010335763217881322,0.0002882408443838358,7.636881491634995e-05,5.6716526160016656e-05,1.5271209122147413e-06,2.706146551645361e-06
12,0.0009989619720727205,0.0002510685008019209,0.00011959963740082458,5.144474562257528e-05,1.4991760508564766e-06,2.7632540877675638e-06,0.0009207226103171706,0.00016393334954045713,0.0001190199691336602,3.703567563206889e-05,1.2996222721994855e-06,3.0691564461449163e-06
13,0.0009789312025532126,0.0002234347048215568,6.273104372667149e-05,3.3778258512029424e-05,1.264811544388067e-06,2.655460593814496e-06,0.0008967850590124726,0.00045503131696023047,6.256950291572139e-05,0.00015304725093301386,1.2612090358743444e-06,2.2848480512038805e-06
14,0.00104036508128047,0.0002534667728468776,9.665480320109054e-05,4.463077857508324e-05,1.290319869440282e-06,2.583422428870108e-06,0.0009234658791683614,0.0008554914384149015,9.946228237822652e-05,4.220767368678935e-05,1.1597043339861558e-06,2.310376294190064e-06
15,0.000987438834272325,0.00041623704601079226,0.00013075406604912132,7.374116830760613e-05,1.3277068319439423e-06,2.5231414838344793e-06,0.0010144751286134124,0.0005047704325988889,0.00028458551969379187,7.103248208295554e-05,1.1746501513698604e-06,2.252133344882168e-06
16,0.0009756839135661721,0.00031765480525791645,9.859879355644807e-05,8.383681415580213e-05,1.1588268534978853e-06,2.3694979972788134e-06,0.000936414988245815,0.00028310788911767304,0.00011094503133790568,6.376899546012282e-05,1.0125213520950638e-06,2.1432910216390154e-06
17,0.0009169797413051128,0.00018110919336322695,5.653581683873199e-05,2.8503205612651072e-05,9.19474223337602e-07,1.979375338123646e-06,0.00081254867836833,0.00016642101400066167,4.963503306498751e-05,1.2472274647734594e-05,8.804393473837991e-07,1.884300399979111e-06
18,0.0008882919210009277,0.00016586393758188933,4.371829709270969e-05,1.7124904843512923e-05,8.718075150682125e-07,1.9656441509141588e-06,0.0008325771777890623,0.0001697728002909571,4.135066774324514e-05,1.8427997929393314e-05,8.319401786138769e-07,1.8565136997494848e-06
19,0.0009078164002858102,0.00018862559227272868,5.0879934860859066e-05,1.5961803001118824e-05,8.51877575769322e-07,1.900462120829616e-06,0.0007873892318457365,0.00020212418166920543,5.081364361103624e-05,1.451400476071285e-05,8.499631803715602e-07,1.725790025375318e-06
20,0.0008758556214161217,0.00017527453019283712,4.601662658387795e-05,1.5818592146388255e-05,7.995667147042696e-07,1.8494589312467725e-06,0.0008481265394948423,0.00017521738482173532,3.6923211155226454e-05,9.942334872903302e-05,9.070773558050861e-07,1.597568189026788e-06
21,0.0008836957276798785,0.00018152744451072067,4.845147122978233e-05,2.4285671315738e-05,7.953114618430846e-07,1.8021841242443771e-06,0.0007981143426150084,0.0003372802457306534,5.9424914070405066e-05,1.6212687114602886e-05,8.198070645448752e-07,1.64596985996468e-06
22,0.0008582639275118709,0.0001850729458965361,5.023961057304405e-05,1.57186841533985e-05,7.550692316726782e-07,1.7031490642693827e-06,0.0007753365207463503,0.00023639075516257435,7.059541530907154e-05,1.5744630218250677e-05,8.113614967442118e-07,1.5964520571287722e-06
23,0.0008316554012708366,0.0001554036425659433,3.717790968948975e-05,1.1226780770812184e-05,6.874887276353548e-07,1.5706529666204007e-06,0.0007444961229339242,0.00015995805733837187,2.707601379370317e-05,8.065094334597234e-06,6.945090717636049e-07,1.4803963495069183e-06
24,0.0008465099381282926,0.00016030836559366435,4.1387636883882806e-05,1.0415021279186476e-05,6.653285709035117e-07,1.6040694390540011e-06,0.0007529503782279789,0.00016632791084703058,4.337089558248408e-05,1.0493066838535015e-05,7.366588761215098e-07,1.4744979125680403e-06
25,0.0008375874604098499,0.00014789990382269025,3.53987816197332e-05,1.1062645171477925e-05,6.511120318464236e-07,1.5480591173400171e-06,0.0007352246902883053,0.00014384789392352104,2.583920468168799e-05,1.57162230607355e-05,6.515876521007158e-07,1.5896952390903608e-06
26,0.0008775555179454386,0.00015610714035574347,4.0495793655281886e-05,1.115951090469025e-05,6.300432687567082e-07,1.5273537428583951e-06,0.000780746282543987,0.0001614421489648521,4.5457069063559175e-05,1.6241814591921866e-05,6.332890279736603e-07,1.5656876712455415e-06
27,0.0008416423224844038,0.00015866306785028428,3.781187842832878e-05,1.3859102182323113e-05,6.219236638571602e-07,1.5295268894988113e-06,0.000736793561372906,0.000136492308229208,4.54488726973068e-05,1.1437859939178452e-05,6.136432148196037e-07,1.5566876754746774e-06
