epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.4476948380470276,0.122836172580719,0.1792246550321579,1.3583840131759644,0.005245196074247361,0.00535377822816372,0.020776033401489258,0.02746947854757309,0.07912010699510574,0.040070824325084686,5.7337398175150156e-05,0.0001430461066775024
2,0.010136610828340054,0.011057690717279911,0.027266038581728935,0.008882155641913414,3.187239344697446e-05,0.00010154109913855791,0.0058630784042179585,0.004488816950470209,0.011400682851672173,0.005860920995473862,9.058809519046918e-06,3.0254106968641283e-05
3,0.003999771550297737,0.002455583307892084,0.008454250171780586,0.002314627170562744,1.0341778397560121e-05,2.3554157814942302e-05,0.004989176522940397,0.0015312503091990948,0.007436087355017662,0.002592247212305665,9.788556781131774e-06,4.4082541717216375e-05
4,0.0030696485191583633,0.0020367896649986506,0.008702041581273079,0.003791739698499441,1.0070153803098948e-05,2.458568778820336e-05,0.002070208778604865,0.0020275646820664406,0.005151713266968727,0.0028136535547673702,8.662583422847093e-06,1.8455283134244384e-05
5,0.0031992834992706776,0.0017627517227083445,0.006149965338408947,0.0037287194281816483,8.491569315083326e-06,1.7059875244740396e-05,0.0023542006965726614,0.0033961005974560976,0.0034554663579910994,0.001363217830657959,7.949749124236405e-06,1.1532609642017633e-05
6,0.002250790363177657,0.0013882768107578158,0.004303459543734789,0.0029062661342322826,7.076210022205487e-06,1.3677810784429312e-05,0.0018435746897011995,0.000987430103123188,0.004838398192077875,0.0015650892164558172,4.564558184938505e-06,7.464605005225167e-06
7,0.001909012207761407,0.0016466666711494327,0.003071170998737216,0.0019363699248060584,6.232140003703535e-06,9.159793262369932e-06,0.00225958158262074,0.0019042135681957006,0.0037315457593649626,0.01247455831617117,2.7989372028969228e-05,1.4854050823487343e-05
8,0.0016769779613241553,0.0006740023964084685,0.0008337436011061072,0.002190101658925414,5.675113425240852e-06,1.4408041897695513e-05,0.001361606759019196,0.003054907312616706,0.0018932395614683628,0.0010681041749194264,1.8341934264753945e-06,6.1000682762824e-06
9,0.0014202594757080078,0.00046394142555072904,0.0010677609825506806,0.00036074689705856144,2.456125912431162e-06,5.237345249042846e-06,0.0011201425222679973,0.0006682649836875498,0.0003436101833358407,0.0008670811075717211,2.4343522454728373e-06,3.843033118755557e-06
10,0.0015455493703484535,0.0009296242496930063,0.0014647385105490685,0.00101529061794281,3.294282942079008e-06,5.645933924824931e-06,0.0015227767871692777,0.0017094080103561282,0.002751644467934966,0.0005711253033950925,2.1632062271237373e-06,9.211715951096267e-06
11,0.002845196286216378,0.004495194647461176,0.01467642467468977,0.0034438874572515488,2.052373311016709e-05,1.4854832261335105e-05,0.0036036325618624687,0.0036952451337128878,0.016547124832868576,0.004661496728658676,3.0087138293311002e-05,2.9230260406620803e-05
12,0.0016616341890767217,0.0012306338176131248,0.0034324894659221172,0.0011079054092988372,1.4602749433834106e-05,1.2251416046638042e-05,0.001286157639697194,0.0005921616102568805,0.0026825950480997562,0.0004882295907009393,2.081665661535226e-06,5.0244216254213825e-06
13,0.0012005596654489636,0.0003858999989461154,0.0007686746539548039,0.0003501473693177104,2.69613738055341e-06,4.258118497091345e-06,0.001160541782155633,0.0002379688958171755,0.0003641681105364114,0.00023601391876582056,1.97922872757772e-06,3.823496081167832e-06
14,0.0012056677369400859,0.00028914009453728795,0.0006627809489145875,0.00034330468042753637,2.52412683039438e-06,4.0113081922754645e-06,0.0010650686454027891,0.0004307781928218901,0.0003898123395629227,0.0002757369074970484,1.7458241927670315e-06,3.44597538060043e-06
15,0.0015974368434399366,0.0017185381148010492,0.0035350921098142862,0.0016044281655922532,4.197016096441075e-06,6.968528759898618e-06,0.0037525638472288847,0.0030177661683410406,0.008705396205186844,0.0017724342178553343,7.5851225119549784e-06,5.572495865635574e-05
16,0.0019439754541963339,0.0011966658057644963,0.002905777655541897,0.002647318411618471,1.4846432895865293e-05,1.1897099466295914e-05,0.0012990570394322276,0.0008834539330564439,0.0012356978841125965,0.001075602718628943,3.7176214391365647e-06,3.1880292226560416e-06
17,0.0013321920996531844,0.0009752472396939993,0.0027915118262171745,0.0012930880766361952,6.158914766274393e-06,5.335305104381405e-06,0.0011539782863110304,0.0007615755312144756,0.005728148855268955,0.000339590449584648,3.300272801425308e-05,2.385039260843769e-06
18,0.0009361738921143115,0.0002439997042529285,0.0007040018099360168,9.266225242754444e-05,3.841670695692301e-06,2.158409188268706e-06,0.0007685887976549566,9.947286889655516e-05,0.00010756317351479083,4.140126475249417e-05,9.327210136689247e-07,1.9834704289678487e-06
19,0.0008904326823540032,0.0001114565966418013,0.00012956219143234193,2.4734257749514654e-05,8.724902727408335e-07,1.8542050383985043e-06,0.0007518762140534818,9.581329504726455e-05,0.00010984275286318734,2.0426936316653155e-05,6.856060281279497e-07,2.299506923009176e-06
20,0.000868599337991327,0.00011097770038759336,0.0001078843924915418,1.9177256035618484e-05,7.709756573603955e-07,1.7970281987800264e-06,0.0008017314248718321,0.00012050026271026582,0.00011745383380912244,0.00011242413893342018,7.335379905271111e-07,2.1199499315116555e-06
21,0.0008708988316357136,0.0001039491908159107,0.0001000971460598521,1.983736910915468e-05,7.485589776479174e-07,1.7349279005429709e-06,0.0007562211831100285,0.00017693224071990699,0.00010880395711865276,1.5719262592028826e-05,5.836963737237966e-07,1.5340649042627776e-06
22,0.0008694757125340402,0.00011087924212915823,0.00011432872270233929,1.6049698388087563e-05,8.128493391268421e-07,1.6537027477170342e-06,0.0008116749813780189,0.00015601144696120173,0.00016059815243352205,3.227193155908026e-05,1.3440421753330156e-06,1.9430652173468846e-06
23,0.0008674781420268118,0.00011339315824443474,0.00010235131776425987,4.127007559873164e-05,8.066876944212709e-07,1.593446359038353e-06,0.0007002082420513034,0.00011884965351782739,0.00012803585559595376,0.00013376142305787653,7.155949788284488e-07,1.1646562597888988e-06
24,0.0008023823029361665,8.934253128245473e-05,8.510851330356672e-05,1.3958332601760048e-05,5.04673016621382e-07,1.325609082414303e-06,0.0006852891528978944,0.00010098210623255,0.00010748612112365663,1.6581074305577204e-05,5.073084594187094e-07,1.1214044207008555e-06
25,0.0007984849507920444,8.358198829228058e-05,8.144465391524136e-05,8.187628736777697e-06,5.221651917963755e-07,1.1979367627645844e-06,0.0006760075921192765,8.163169695762917e-05,6.407401815522462e-05,7.519683549617184e-06,4.312602868594695e-07,1.3868522728444079e-06
26,0.0008481786353513598,8.329260890604928e-05,8.226836507674307e-05,9.246740773960482e-06,4.789580543729244e-07,1.2013353625661695e-06,0.0007589908200316131,8.764078665990382e-05,0.0001530142908450216,7.403725703625241e-06,4.6632426347059664e-07,2.044313441729173e-06
