epoch,learning_rate,epoch_seconds,elapsed_seconds,train_total,train_temperature,train_logF,train_retention,train_physics,train_trajectory_F,train_initial,train_continuity,train_selection_score,validation_total,validation_temperature,validation_logF,validation_retention,validation_physics,validation_trajectory_F,validation_initial,validation_continuity,validation_selection_score
1,0.0010000000474974513,105.92422491300385,105.92422821500077,2.0991885662078857,0.34275850653648376,0.1281111091375351,0.09721660614013672,2.3635458946228027,2.433706521987915,0.02964521385729313,0.03605787083506584,1.8606089353561401,0.09061196446418762,0.010293944738805294,0.02411244995892048,0.03344641998410225,0.024402828887104988,0.07062149792909622,0.0007963157258927822,0.0018414907390251756,0.7420617938041687
2,0.0010000000474974513,30.37814945500577,136.30243828299717,0.058901045471429825,0.008479551412165165,0.010468188673257828,0.013555566780269146,0.035498205572366714,0.03876698017120361,0.00033655320294201374,0.0013543531531468034,0.5356764793395996,0.03543955087661743,0.0062569743022322655,0.007668141275644302,0.007660789415240288,0.01502196304500103,0.032846324145793915,0.0002422474353807047,0.0006146535160951316,0.4624287486076355
3,0.0010000000474974513,30.400768079001864,166.70322098400356,0.024324335157871246,0.004499964881688356,0.003756024409085512,0.0076421527191996574,0.007760802749544382,0.009568250738084316,0.00017865411064121872,0.00027966551715508103,0.32008129358291626,0.02743157558143139,0.003163027809932828,0.0033416638616472483,0.012914110906422138,0.009615011513233185,0.005535406060516834,0.00015565655485261232,0.0002667658554855734,0.32190391421318054
4,0.0010000000474974513,30.299052948997996,197.0022940359995,0.011672667227685452,0.0026432485319674015,0.0017417073249816895,0.003051967825740576,0.0031331598293036222,0.00421537458896637,0.00012277672067284584,0.0001363877672702074,0.21497315168380737,0.007315110415220261,0.0018105607014149427,0.001140813110396266,0.0013041201746091247,0.002462338889017701,0.0018555228598415852,7.309680222533643e-05,0.0001057686677086167,0.16602811217308044
5,0.0010000000474974513,30.409865884998,227.41218348500115,0.008767973631620407,0.002252291887998581,0.0016681216657161713,0.0009919320000335574,0.0031646755523979664,0.004309210926294327,9.01657112990506e-05,0.00011983967124251649,0.18767887353897095,0.005696235224604607,0.001559832482598722,0.0006564502255059779,0.0009925678605213761,0.001833267044275999,0.0014264083001762629,3.8586509617744014e-05,7.060148345772177e-05,0.14349853992462158
6,0.0010000000474974513,30.390934645001835,257.80321331499727,0.00588005967438221,0.0016803821781650186,0.0006589657859876752,0.0007080669165588915,0.0022792285308241844,0.0024359901435673237,4.287412957637571e-05,8.361932850675657e-05,0.14767184853553772,0.004867394454777241,0.0017434753244742751,0.0005368993734009564,0.0003407479671295732,0.000975968549028039,0.001561625162139535,4.052525764564052e-05,0.0001075906548066996,0.12923483550548553
7,0.0010000000474974513,30.32094588399923,288.12417750999884,0.0072595966048538685,0.001729679643176496,0.00069432269083336,0.0007312996895052493,0.004715975373983383,0.004636329598724842,5.020509343012236e-05,0.00011608596832957119,0.1704155057668686,0.006321202963590622,0.0020092795602977276,0.0006537959561683238,0.0005838478682562709,0.0020982965361326933,0.002812889637425542,5.418842192739248e-05,0.00010432163253426552,0.15742555260658264
8,0.0010000000474974513,30.359662023001874,318.483852131998,0.00805253442376852,0.001761311898007989,0.0010949088027700782,0.0015207239193841815,0.0037966312374919653,0.0038018112536519766,3.89105589420069e-05,0.00012070094817318022,0.17526943981647491,0.017907893285155296,0.0021249924320727587,0.0017190359067171812,0.008884411305189133,0.00608499301597476,0.004274430684745312,3.513551928335801e-05,8.452407200820744e-05,0.2636631429195404
9,0.0010000000474974513,30.344171861004725,348.82804462700005,0.008387258276343346,0.0019173637265339494,0.001188907539471984,0.0018308667931705713,0.0030308349523693323,0.003874004352837801,7.389648089883849e-05,9.947772923624143e-05,0.1777847856283188,0.0076378812082111835,0.0017348772380501032,0.001512399991042912,0.000610770599450916,0.004048582166433334,0.002430472057312727,5.0045237003359944e-05,0.00015661072393413633,0.1688866764307022
10,0.0010000000474974513,30.413622287996986,379.24168165399897,0.007089583203196526,0.0018113716505467892,0.0009725176496431231,0.0010507950792089105,0.0028595656622201204,0.0029440056532621384,5.8050714869750664e-05,7.940195791888982e-05,0.16468903422355652,0.011692814528942108,0.0013366603525355458,0.0009430340141989291,0.004566974006593227,0.006999802775681019,0.004790776874870062,4.6895791456336156e-05,4.893610821454786e-05,0.22278642654418945
11,0.0005000000237487257,30.34127821099537,409.5830256249974,0.003926575183868408,0.001179675804451108,0.0003708293370436877,0.000889309449121356,0.0006023682653903961,0.000799680536147207,2.0734523786813952e-05,3.8275848055491224e-05,0.10186237841844559,0.0028519409243017435,0.001258418895304203,0.00014871031453367323,0.00011005671694874763,0.00014244081103242934,0.000200883237994276,1.2932585377711803e-05,3.8227488403208554e-05,0.07391732931137085
