epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.6855170130729675,0.1281111091375351,0.09721660614013672,1.1817729473114014,0.002964521385729313,0.0036057870835065845,0.020587889477610588,0.02411244995892048,0.03344641998410225,0.012201414443552494,7.963157258927822e-05,0.00018414907390251756
2,0.01695910282433033,0.010468188673257828,0.013555566780269146,0.017749102786183357,3.3655320294201374e-05,0.00013543531531468034,0.012513948604464531,0.007668141275644302,0.007660789415240288,0.007510981522500515,2.4224743538070473e-05,6.146535160951316e-05
3,0.008999929763376713,0.003756024409085512,0.0076421527191996574,0.003880401374772191,1.786541106412187e-05,2.7966551715508104e-05,0.006326055619865656,0.0033416638616472483,0.012914110906422138,0.004807505756616592,1.556565548526123e-05,2.667658554855734e-05
4,0.005286497063934803,0.0017417073249816895,0.003051967825740576,0.0015665799146518111,1.2277672067284585e-05,1.3638776727020742e-05,0.0036211214028298855,0.001140813110396266,0.0013041201746091247,0.0012311694445088506,7.309680222533644e-06,1.057686677086167e-05
5,0.004504583775997162,0.0016681216657161713,0.0009919320000335574,0.0015823377761989832,9.01657112990506e-06,1.198396712425165e-05,0.003119664965197444,0.0006564502255059779,0.0009925678605213761,0.0009166335221379995,3.858650961774402e-06,7.060148345772177e-06
6,0.003360764356330037,0.0006589657859876752,0.0007080669165588915,0.0011396142654120922,4.287412957637571e-06,8.361932850675658e-06,0.0034869506489485502,0.0005368993734009564,0.0003407479671295732,0.0004879842745140195,4.052525764564052e-06,1.0759065480669962e-05
7,0.003459359286352992,0.00069432269083336,0.0007312996895052493,0.0023579876869916916,5.020509343012236e-06,1.160859683295712e-05,0.004018559120595455,0.0006537959561683238,0.0005838478682562709,0.0010491482680663466,5.418842192739248e-06,1.0432163253426552e-05
8,0.003522623796015978,0.0010949088027700782,0.0015207239193841815,0.0018983156187459826,3.89105589420069e-06,1.2070094817318024e-05,0.004249984864145517,0.0017190359067171812,0.008884411305189133,0.00304249650798738,3.513551928335801e-06,8.452407200820744e-06
9,0.0038347274530678988,0.001188907539471984,0.0018308667931705713,0.0015154174761846662,7.389648089883849e-06,9.947772923624143e-06,0.0034697544761002064,0.001512399991042912,0.000610770599450916,0.002024291083216667,5.004523700335994e-06,1.5661072393413632e-05
10,0.0036227433010935783,0.0009725176496431231,0.0010507950792089105,0.0014297828311100602,5.805071486975067e-06,7.940195791888982e-06,0.0026733207050710917,0.0009430340141989291,0.004566974006593227,0.0034999013878405094,4.689579145633616e-06,4.893610821454786e-06
11,0.002359351608902216,0.0003708293370436877,0.000889309449121356,0.00030118413269519806,2.073452378681395e-06,3.827584805549122e-06,0.002516837790608406,0.00014871031453367323,0.00011005671694874763,7.122040551621467e-05,1.2932585377711803e-06,3.822748840320855e-06
12,0.0021173504646867514,0.00015122952754609287,0.00011671288666548207,5.1084083679597825e-05,1.2824350960727316e-06,2.953784860437736e-06,0.0018952228128910065,0.0001416232844348997,7.988901779754087e-05,6.084480628487654e-05,2.030364157690201e-06,3.7179583159741018e-06
13,0.002166548278182745,0.00013016897719353437,9.357887029182166e-05,4.248957338859327e-05,1.2520095879153815e-06,2.97733313345816e-06,0.0020376744214445353,0.00023019971558824182,0.00022442814952228218,6.54268660582602e-05,1.936882836162113e-06,2.4939246941357853e-06
14,0.002225652104243636,0.0001686934265308082,0.00011545399320311844,5.973617226118222e-05,1.3082108125672676e-06,3.184777960996144e-06,0.00209597940556705,0.00016985234105959535,0.0001657571701798588,0.00018328549049329013,1.3036444215686062e-06,2.5764109523152004e-06
15,0.0022052775602787733,0.0001594796631252393,0.00011168485070811585,7.866680971346796e-05,1.3031215530645568e-06,2.860906351997983e-06,0.002567471470683813,0.0004611395124811679,0.00017699944146443158,0.00011079409887315705,1.3807402865495533e-06,2.7131962269777435e-06
16,0.0021651003044098616,0.0001637834939174354,0.00014062914124224335,8.229028026107699e-05,1.7433423636248337e-06,2.8675554858637043e-06,0.0018839305266737938,0.00028681399999186397,0.00036539253778755665,3.869570718961768e-05,1.819187127694022e-06,2.7540885639609772e-06
17,0.0019651900511235,0.00011913609341718256,8.947526657721028e-05,2.5695251679280773e-05,8.622607310826425e-07,2.3344366127275863e-06,0.0019888803362846375,0.00011349812848493457,8.283315401058644e-05,2.4384122298215516e-05,9.467751624470111e-07,4.83992298541125e-06
18,0.001945440424606204,9.499769657850266e-05,5.406689888332039e-05,2.144777317880653e-05,8.642278771731072e-07,2.028037306445185e-06,0.001775415032170713,0.00010152171307709068,0.00011544010340003297,2.598316132207401e-05,8.640853593533393e-07,3.5186738386983054e-06
19,0.0018965487834066153,0.00010048364492831752,6.656211917288601e-05,2.9587094104499556e-05,7.904992344265339e-07,1.95847824215889e-06,0.0017353477887809277,9.777733794180676e-05,4.2125495383515954e-05,1.770004200807307e-05,1.0592889339022804e-06,1.7260017557418905e-06
20,0.001915197353810072,9.936128481058404e-05,7.308327622013167e-05,2.1471656509675086e-05,8.887553121894598e-07,1.9018772945855746e-06,0.0017769664991647005,0.00010184232087340206,6.644105451414362e-05,2.8343147278064862e-05,8.78102127899183e-07,1.781848550308496e-06
21,0.0019564868416637182,0.00010544670658418909,5.540651909541339e-05,2.6414571038912982e-05,7.425605872413144e-07,2.1722424207837323e-06,0.0017740912735462189,0.00012273475294932723,8.06536409072578e-05,2.772535663098097e-05,7.531209575972753e-07,2.008403498621192e-06
22,0.0019994948524981737,0.00012888634228147566,0.00010085172107210383,3.654605825431645e-05,7.704907147854101e-07,2.1643303625751286e-06,0.0017223428003489971,0.0001376245345454663,9.364679135615006e-05,2.5933135475497693e-05,8.403179890592583e-07,2.7019017579732466e-06
23,0.0019161876989528537,0.00010262949945172295,6.518614100059494e-05,3.428880881983787e-05,7.43188775231829e-07,2.0625277102226393e-06,0.0017354096053168178,0.00010922413639491424,4.563903348753229e-05,5.4353124141925946e-05,1.0563596333668101e-06,1.6808644431876019e-06
24,0.0019080154597759247,7.432472193613648e-05,4.475368405110203e-05,1.6073734514066018e-05,6.188517090777168e-07,1.6436028090538458e-06,0.0019202455878257751,9.478064748691395e-05,5.266023799777031e-05,1.3358010619413108e-05,6.924488388904138e-07,3.209400165360421e-06
25,0.0018910833168774843,8.272013656096533e-05,4.458543480723165e-05,1.4410731637326535e-05,6.311142897175159e-07,1.844569305831101e-06,0.0016577310161665082,7.968449062900618e-05,4.941271981806494e-05,2.2849035303806886e-05,6.820222097303486e-07,1.9557843188522384e-06
26,0.0018006243044510484,7.647516758879647e-05,4.290293509257026e-05,1.5140715731831733e-05,6.057843165763188e-07,1.672966936894227e-06,0.0017637014389038086,9.66064544627443e-05,4.044679371872917e-05,1.938588138727937e-05,6.421389571187319e-07,2.4372962798224763e-06
