epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.2764396667480469,0.06783976405858994,0.088829405605793,0.0,0.0011875041760504247,0.001738298311829567,0.016811542212963104,0.011408574879169464,0.012560348957777023,0.0,2.0612603111658246e-05,4.0128751425072555e-05
2,0.011341946199536324,0.006736741866916418,0.007492537144571543,0.0,2.7998597943224013e-05,3.603060322348029e-05,0.008626405149698257,0.002788323210552335,0.023451488465070724,0.0,1.4629338693339378e-05,2.0050747843924912e-05
3,0.005173990968614817,0.002621745690703392,0.005878705997020006,0.0,1.1098348477389664e-05,2.2174273908603936e-05,0.0033297580666840076,0.0013931129360571504,0.0027614403516054153,0.0,8.996879478218034e-06,1.1033850751118735e-05
4,0.003610839368775487,0.001153677236288786,0.0012972173281013966,0.0,5.197213977226056e-06,1.4003251271788032e-05,0.007521732244640589,0.009204345755279064,0.0029467069543898106,0.0,2.841433342837263e-06,1.2867627083323897e-05
5,0.004793679341673851,0.0016136354533955455,0.0016909934347495437,0.0,6.225742981769145e-06,2.247171069029719e-05,0.004752813372761011,0.0010624316055327654,0.0012664560927078128,0.0,3.3349184377584607e-06,4.776927016791888e-06
6,0.0030940084252506495,0.0005627977079711854,0.0007541677332483232,0.0,2.402808240731247e-06,1.168479648185894e-05,0.002124910708516836,0.00046118476893752813,0.0008050254546105862,0.0,2.2835612980998123e-06,7.100749644450844e-06
7,0.003217977937310934,0.0013209274038672447,0.0025472277775406837,0.0,3.7327237805584447e-06,1.8089162767864764e-05,0.0026260786689817905,0.0006820900598540902,0.0006196147296577692,0.0,3.245660263928585e-06,5.875630449736491e-06
8,0.002598001854494214,0.000558804371394217,0.0006231138831935823,0.0,1.990942291740794e-06,1.1809676652774215e-05,0.0030058196280151606,0.0008254838176071644,0.001416900777257979,0.0,3.098271554335952e-06,3.9838065276853745e-06
9,0.002983167301863432,0.0016937368782237172,0.003273016307502985,0.0,3.5790420952253047e-06,1.590381725691259e-05,0.011183110065758228,0.004965292755514383,0.006928072776645422,0.0,5.2042192692169925e-06,1.8601614283397796e-05
10,0.003698349231854081,0.0011343841906636953,0.0015269452705979347,0.0,7.854770228732378e-06,2.7061457512900236e-05,0.0019760995637625456,0.000818786327727139,0.0034832132514566183,0.0,3.2707328500691804e-06,5.1404113037278876e-06
11,0.002364387968555093,0.0010247330646961927,0.0009895821567624807,0.0,2.5596891646273434e-06,1.797670847736299e-05,0.002198378788307309,0.0004600730899255723,0.00038385417428798974,0.0,2.1304735128069296e-06,7.281085709109903e-06
12,0.0017730328254401684,0.00015426577010657638,0.00012110677926102653,0.0,7.466274382750271e-07,4.0464208723278715e-06,0.002071525901556015,0.00014732367708347738,7.143111724872142e-05,0.0,5.124317340232665e-07,9.966595098376275e-06
13,0.001739060739055276,0.00015499131404794753,0.00016182687249965966,0.0,5.85042653256096e-07,5.4052772611612456e-06,0.0017739849863573909,0.00012218992924317718,0.00012447201879695058,0.0,7.536787506978726e-07,1.8263376841787248e-05
14,0.0017834084574133158,0.00014174182433634996,0.00011059977987315506,0.0,6.540072263305774e-07,5.957976463832893e-06,0.0014603325398638844,0.00025955087039619684,7.983989780768752e-05,0.0,5.874941507499898e-07,8.85630797711201e-06
15,0.0018652225844562054,0.00020997002138756216,0.00012567671365104616,0.0,6.662960913672578e-07,7.8913573815953e-06,0.002577676670625806,0.00030671508284285665,0.0002226323849754408,0.0,5.482824690261624e-07,4.391923430375755e-05
16,0.0018027167534455657,0.00017143329023383558,0.00015647262625861913,0.0,7.188806648628088e-07,1.1957935203099624e-05,0.0016119253123179078,0.00019793312822002918,0.0002124468592228368,0.0,4.680580786953215e-07,2.9400609491858633e-06
17,0.001592945191077888,0.00010526089317863807,7.692133658565581e-05,0.0,4.2365090848761614e-07,2.6870440706261435e-06,0.001403462840244174,8.352809527423233e-05,6.447966734413058e-05,0.0,5.037469236413017e-07,3.947032018913888e-06
18,0.0015504856128245592,8.912406337913126e-05,4.90709426230751e-05,0.0,3.8201433198992164e-07,2.4694316380191597e-06,0.001396697130985558,9.761892579263076e-05,5.162350498721935e-05,0.0,3.10807354253484e-07,8.050914402701892e-07
19,0.0016139113577082753,9.988821693696082e-05,6.890126678626984e-05,0.0,4.065834673383506e-07,2.7501573640620336e-06,0.001318404683843255,8.569270721636713e-05,4.973272007191554e-05,0.0,4.017134870082373e-07,7.794094017299358e-07
20,0.0015710396692156792,0.00011002623796230182,5.7857389037963e-05,0.0,3.7527424865402283e-07,2.9814291337970644e-06,0.0013860632898285985,0.00015398253162857145,5.746752140112221e-05,0.0,3.759319042728748e-07,4.1236817196477205e-06
21,0.0015764052513986826,0.0001036418107105419,9.645246609579772e-05,0.0,3.5811319776257733e-07,4.183328564977274e-06,0.001523828599601984,8.20970453787595e-05,4.494520544540137e-05,0.0,3.8636212593701205e-07,3.908930375473574e-06
22,0.00161854294128716,0.00010321201261831447,6.30847571301274e-05,0.0,3.614766455939389e-07,3.1429470254806804e-06,0.0015273612225428224,0.00016535367467440665,8.1994294305332e-05,0.0,3.0376334052562016e-07,1.2238958333909979e-06
23,0.0016205769497901201,0.0001155656500486657,6.808977195760235e-05,0.0,3.9752294469508346e-07,4.89822959934827e-06,0.0014095318038016558,8.520225674146786e-05,4.5388133003143594e-05,0.0,3.846227173198713e-07,8.324767259182409e-06
24,0.0014926305739209056,8.310644625453278e-05,3.8552319892914966e-05,0.0,3.0225639875425263e-07,1.7584288798389025e-06,0.0013721160357818007,7.885122613515705e-05,3.8504698750330135e-05,0.0,2.737441491262871e-07,5.619747298624134e-07
25,0.001498884754255414,8.32828736747615e-05,3.4928973036585376e-05,0.0,2.9192115107434803e-07,2.2991516743786633e-06,0.0012561167823150754,0.00011425652337493375,2.6725807401817292e-05,0.0,3.019632231371361e-07,5.30452825842076e-07
26,0.001488430192694068,9.682097879704088e-05,4.19785974372644e-05,0.0,2.8917115741933235e-07,1.746786256262567e-06,0.0013890363043174148,0.00012611124839168042,3.0617193260695785e-05,0.0,2.49109803007741e-07,3.08284506900236e-06
27,0.0015141944168135524,8.893224003259093e-05,3.802507490036078e-05,0.0,2.6608036023390015e-07,2.079792284348514e-06,0.0012693428434431553,8.306635572807863e-05,3.5051900340477005e-05,0.0,3.0022483770153486e-07,3.3401178370695565e-06
28,0.0015124621568247676,8.48502095323056e-05,4.213851934764534e-05,0.0,2.865381702576997e-07,2.365641194046475e-06,0.0013294229283928871,9.234918252332136e-05,3.437199484324083e-05,0.0,3.0217518087738426e-07,1.642931965761818e-06
29,0.0017736892914399505,8.559168054489419e-05,3.671119702630676e-05,0.0,2.6931829779641706e-07,3.617073889472522e-06,0.0018732256721705198,9.410506027052179e-05,9.819230035645887e-05,0.0,3.0776229777984557e-07,3.0712242732988673e-06
30,0.0015213533770292997,7.68029349274002e-05,3.934687629225664e-05,0.0,2.478150236129295e-07,2.156107257178519e-06,0.0012718799989670515,6.612086872337386e-05,2.6391420760774054e-05,0.0,2.4149289856723044e-07,1.1974059816566296e-06
31,0.0014449178706854582,7.340904994634911e-05,2.8586562621057965e-05,0.0,2.285544951519114e-07,1.406456794939004e-06,0.0014042354887351394,7.921666838228703e-05,3.092444967478514e-05,0.0,2.3059928935253993e-07,2.467948434059508e-06
32,0.0014696805737912655,7.850612018955871e-05,3.446131813689135e-05,0.0,2.3639661321794848e-07,1.3511506040231325e-06,0.001264090882614255,7.07523722667247e-05,2.9484403057722375e-05,0.0,2.4522107651137047e-07,1.4772070244362113e-06
33,0.0014378095511347055,7.336500129895285e-05,3.083648334722966e-05,0.0,2.3630293526366587e-07,1.4257286238716917e-06,0.0012362041743472219,8.156573312589899e-05,2.3342545318882912e-05,0.0,2.191588237110409e-07,6.105647116783075e-07
34,0.0014436865458264947,7.283246668521315e-05,2.795490036078263e-05,0.0,2.2430012904806063e-07,1.5985586287570186e-06,0.0013598798541352153,6.387057510437444e-05,4.0839229768607765e-05,0.0,2.2321207779896215e-07,4.705626633949578e-06
35,0.0014073055936023593,6.850333011243492e-05,2.6469677322893403e-05,0.0,2.0525014861050296e-07,9.012595000967849e-07,0.001243898761458695,6.373839278239757e-05,2.1224983356660232e-05,0.0,2.1070757156849142e-07,1.1321443707856817e-06
36,0.0013961150543764234,6.961596227483824e-05,2.522943941585254e-05,0.0,2.0271859284548556e-07,7.988039214978927e-07,0.0012481344165280461,6.230134022189304e-05,2.237864100607112e-05,0.0,2.2548833840119188e-07,5.710216555598891e-07
37,0.001408724463544786,6.879497959744185e-05,2.5659932362032123e-05,0.0,2.0686279640358409e-07,8.32605019240873e-07,0.0012177403550595045,6.633326120208949e-05,2.243207381980028e-05,0.0,2.0449615476536567e-07,6.363441571011208e-07
38,0.0014096826780587435,6.981711339903995e-05,2.5053070203284733e-05,0.0,2.0854154172411655e-07,9.114828571910039e-07,0.0012372389901429415,6.532690895255655e-05,2.422832949378062e-05,0.0,2.1601779280899792e-07,7.918804840301164e-07
39,0.00139838014729321,6.872808444313705e-05,2.5598523279768415e-05,0.0,2.0444704205146993e-07,6.765350008208771e-07,0.001213732990436256,7.196039223344997e-05,3.709411612362601e-05,0.0,2.3652571599086516e-07,4.4994881136517507e-07
40,0.0014038850786164403,6.867433694424108e-05,2.5750856366357766e-05,0.0,2.0855693492194407e-07,8.731219168112148e-07,0.0012142350897192955,6.011970981489867e-05,2.142296580132097e-05,0.0,2.033516466326546e-07,6.55497751722578e-07
41,0.001421197783201933,6.995907460805029e-05,2.760459938144777e-05,0.0,2.0051570572832134e-07,9.321493962488604e-07,0.0012272094609215856,6.300838867900893e-05,2.035227771557402e-05,0.0,2.066153456325992e-07,5.012979272578377e-07
42,0.0013866161461919546,6.63999016978778e-05,2.2885318685439415e-05,0.0,1.885572942228464e-07,6.293759724940174e-07,0.0012059514410793781,5.932027488597669e-05,2.044888969976455e-05,0.0,2.0284417132643286e-07,4.583051122608595e-07
