epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.4374900460243225,0.1270948052406311,0.10050734877586365,1.3633490800857544,0.005267332494258881,0.005327137932181359,0.012947380542755127,0.03408714383840561,0.02538795955479145,0.015041863545775414,3.484487824607641e-05,0.0001320048701018095
2,0.00829331949353218,0.009476185776293278,0.011378844268620014,0.01598718762397766,2.656306605786085e-05,8.71862517669797e-05,0.006232185754925013,0.005690980702638626,0.00518743647262454,0.008118529804050922,1.3161040260456503e-05,3.8857414619997146e-05
3,0.0040290458127856255,0.0028026080690324306,0.004835813771933317,0.0022226176224648952,1.0439394100103528e-05,2.026701404247433e-05,0.005614185705780983,0.001785465981811285,0.0018792931223288178,0.005624060053378344,7.847130473237486e-06,3.45500186085701e-05
4,0.0031058592721819878,0.0017113236244767904,0.0029755427967756987,0.0022433684207499027,7.067724800435827e-06,1.7627267516218127e-05,0.002117111347615719,0.0026203333400189877,0.006742552388459444,0.0009677276248112321,3.5083015973214063e-06,1.4107051538303495e-05
5,0.00231973291374743,0.0012167446548119187,0.00188171595800668,0.002292506629601121,5.379600770538673e-06,1.1252847616560758e-05,0.0018534057307988405,0.000608690723311156,0.0007489552954211831,0.001303739263676107,3.3990472729783505e-06,7.411808473989368e-06
6,0.0018126564100384712,0.0007856629090383649,0.0008099090773612261,0.0019056370947510004,4.841883855988272e-06,8.50653013912961e-06,0.0018441368592903018,0.0009480055887252092,0.001228691660799086,0.00033868930768221617,3.4049506211886185e-06,6.703232065774501e-06
7,0.0018793211784213781,0.0015111275715753436,0.0020267926156520844,0.0018085577758029103,3.830569403362461e-06,7.558352808700875e-06,0.003140927292406559,0.0023975565563887358,0.0017750990809872746,0.03266008570790291,4.570616874843836e-06,1.2773319031111897e-05
8,0.0037561338394880295,0.005435387138277292,0.009217635728418827,0.01126822642982006,1.4590534556191415e-05,2.620354061946273e-05,0.0017340490594506264,0.002055566990748048,0.007523888256400824,0.002453470602631569,1.0612937330733985e-05,9.73131973296404e-06
9,0.0015124290948733687,0.0006742488476447761,0.0012096291175112128,0.0007365717319771647,3.2402898796135563e-06,5.092606079415419e-06,0.0010811288375407457,0.00018857834220398217,0.00019050970149692148,0.0006514848791994154,1.6497204342158512e-06,3.116842344752513e-06
10,0.001337249530479312,0.0004038188490085304,0.0004182500997558236,0.0002679864119272679,1.8102040485246108e-06,3.5644388844957575e-06,0.0013315374962985516,0.001556828967295587,0.003950728103518486,0.00042892456986010075,1.8287480997969397e-06,2.813084938679822e-06
11,0.0015631068963557482,0.0012033089296892285,0.0020957107190042734,0.0007988858851604164,3.5308352380525324e-06,4.5996628614375375e-06,0.0015086863422766328,0.0015172958374023438,0.005572205875068903,0.0012229701969772577,3.252705209888518e-06,5.595380571321584e-06
12,0.001349092461168766,0.0004850360273849219,0.00106258993037045,0.0003319276147522032,1.992692159547005e-06,3.92732399632223e-06,0.001049935119226575,0.0004733077366836369,0.0014487681910395622,0.0001168109301943332,1.0280083188263235e-06,3.363654104759917e-06
13,0.0012368874158710241,0.00036828703014180064,0.0003195398603565991,0.0006547572556883097,2.1379719328251667e-06,3.54516196239274e-06,0.001135771395638585,0.0002005174319492653,0.00020986617892049253,0.0006436191615648568,3.235459007555619e-06,2.880246211134363e-06
14,0.0011880723759531975,0.0003623126249294728,0.00034994882298633456,0.0004698659759014845,1.7530532204546036e-06,3.6711848224513236e-06,0.0013145973207429051,0.0014934578211978078,0.0002737644826993346,0.0007315665716305375,4.445673403097317e-06,3.8644844607915734e-06
15,0.0015005298191681504,0.0014491798356175423,0.0016527606640011072,0.0013553900644183159,4.410334076965228e-06,4.226676537655294e-06,0.002282105851918459,0.0011631334200501442,0.004371486138552427,0.0012785048456862569,6.371336348820478e-06,2.299339830642566e-05
16,0.0015283988323062658,0.0007044359808787704,0.0009347289451397955,0.0007220860570669174,4.421083576744422e-06,4.749390427605249e-06,0.000991614069789648,0.00024763692636042833,0.0005334692541509867,0.0003908852522727102,2.7211768610868604e-06,2.4712278900551612e-06
17,0.0011974179651588202,0.0006250272854231298,0.000742556934710592,0.0011212941026315093,2.64138616330456e-06,3.574110451154411e-06,0.0011946680024266243,0.00043016314157284796,0.0010927467374131083,0.0020169862546026707,2.660092832229566e-06,3.2491694582859055e-06
18,0.0018866263562813401,0.0031754695810377598,0.006939394399523735,0.0020581285934895277,9.600094927009195e-06,8.915251237340272e-06,0.002687790198251605,0.0036537176929414272,0.00671912357211113,0.002696663374081254,3.777768579311669e-05,3.173545119352639e-05
19,0.0017801688518375158,0.0011181675363332033,0.0025826492346823215,0.0010165320709347725,1.4889446902088821e-05,7.477735198335723e-06,0.0008848904981277883,0.0003130447003059089,0.00030583320767618716,5.3933872550260276e-05,4.144654303672724e-06,1.668061304371804e-06
20,0.0010640696855261922,0.0003209429851267487,0.0002288002142449841,0.0006346370792016387,2.6676671041059308e-06,2.566251168900635e-06,0.0012506425846368074,0.00023747164232190698,0.000855576538015157,0.0025714763905853033,2.1827716409461575e-06,5.044219142291695e-06
21,0.001097773783840239,0.00037239582161419094,0.00044377113226801157,0.0005701566697098315,2.2942807845538485e-06,3.0015011361683722e-06,0.000994736677967012,0.0010177608346566558,0.0030590191017836332,0.0005146955954842269,1.6314003005390988e-06,1.6881132978596726e-06
