epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.6857987642288208,0.13270260393619537,0.09767861664295197,1.3882015943527222,0.005477192997932434,0.007994786649942399,0.0357106477022171,0.031798187643289566,0.021972738206386566,0.01011771708726883,6.911690579727293e-05,0.00023350748233497143
2,0.01712239347398281,0.011196937412023544,0.014072753489017487,0.013366698287427425,2.8918273164890708e-05,0.00013270751805976035,0.009314987808465958,0.01049780286848545,0.04207859933376312,0.0054070125333964825,1.84189309948124e-05,7.923010271042586e-05
3,0.0075046042911708355,0.0037090545520186424,0.006568875629454851,0.0023357190657407045,1.560991513542831e-05,3.3744151005521415e-05,0.006362259387969971,0.0017881839303299785,0.002225046046078205,0.005553048104047775,8.554121450288221e-06,2.2689971956424415e-05
4,0.004436105955392122,0.0014809954445809126,0.002382292877882719,0.0012375008082017303,9.140052134171128e-06,1.810858811950311e-05,0.003991385921835899,0.0013686742167919874,0.0019496529130265117,0.006378346122801304,5.460439206217416e-06,1.474578311899677e-05
5,0.004362805746495724,0.0011943763820454478,0.0016888231039047241,0.003905471181496978,1.0430067050037906e-05,1.608441525604576e-05,0.004478538874536753,0.0012400532141327858,0.0015105755301192403,0.0011523969005793333,1.3665654114447535e-05,8.920388063415885e-06
6,0.003626310732215643,0.0010970693547278643,0.0018587724771350622,0.001409547054208815,7.881665806053207e-06,1.186508670798503e-05,0.0044397772289812565,0.0009380560368299484,0.005080861505120993,0.0021964581683278084,9.038286225404591e-06,7.38589369575493e-06
7,0.0038516612257808447,0.001601513009518385,0.00173352868296206,0.003055826760828495,6.685145490337163e-06,1.2847523612435908e-05,0.004193078260868788,0.0019120649667456746,0.0036159572191536427,0.0027601164765655994,5.031626278650947e-06,6.847132317489014e-06
8,0.0035105408169329166,0.0012962842592969537,0.0015277175698429346,0.0010410251561552286,5.73141260247212e-06,9.167882672045381e-06,0.0025833668187260628,0.0021771672181785107,0.003099835477769375,0.0026823857333511114,3.7818081182194874e-06,1.1102970893261956e-05
9,0.002870928030461073,0.0006810204940848053,0.0012113822158426046,0.0007793980184942484,4.880691267317162e-06,7.276835094671697e-06,0.0021342504769563675,0.0012047614436596632,0.0034386843908578157,0.0005520029808394611,4.3836924305651335e-06,5.622339085675776e-06
10,0.002954039489850402,0.0008033848134800792,0.0009698866051621735,0.0008333760197274387,4.748789069708437e-06,6.91737441229634e-06,0.003246994921937585,0.001498339930549264,0.00505637563765049,0.0012694275937974453,2.3851354853832165e-06,6.024746835464612e-06
11,0.003933888394385576,0.0027885138988494873,0.007697655353695154,0.0019244266441091895,1.0222633136436343e-05,9.43264167290181e-06,0.0042655630968511105,0.0011794589227065444,0.004533335100859404,0.00043387245386838913,2.861401881091297e-05,1.7133615619968624e-05
12,0.0025718435645103455,0.0005042572156526148,0.0006365862209349871,0.0007250427734106779,5.029454769100994e-06,6.577193562407047e-06,0.002366144908592105,0.0005372097948566079,0.0016035480657592416,0.0013391354586929083,1.8766475477605127e-06,1.187162779388018e-05
13,0.0027328820433467627,0.0004617766535375267,0.0007141375099308789,0.0008076907834038138,3.714860940817744e-06,5.538503319257871e-06,0.0022478450555354357,0.0010667085880413651,0.001170062692835927,0.003842688165605068,6.998950993875042e-06,4.702830119640567e-06
14,0.0025684081483632326,0.000615886237937957,0.0006365657318383455,0.0015472348313778639,4.0242910472443326e-06,5.730001066694968e-06,0.0026131218764930964,0.0038668920751661062,0.0008677492151036859,0.0020710162352770567,2.0586787286447363e-06,3.375462620169856e-06
15,0.003965110518038273,0.0029667264316231012,0.002668144181370735,0.0025985566899180412,1.1715034634107725e-05,1.0128023859579116e-05,0.004543984774500132,0.004415617790073156,0.0026690291706472635,0.0018175551667809486,9.476919512962923e-06,4.195125075057149e-05
16,0.002806716598570347,0.0008476884104311466,0.0010905391536653042,0.0009104745113290846,5.689216413884424e-06,6.159475742606446e-06,0.0021828545723110437,0.00027028933982364833,0.0009899985743686557,0.00012873978994321078,1.8318070942768829e-06,2.673906055861153e-06
17,0.0022849920205771923,0.000398051313823089,0.0006630526040680707,0.0005382528761401772,3.859037678921595e-06,3.884743637172505e-06,0.002257192274555564,0.00013476060121320188,0.0002751617575995624,0.0005487274611368775,3.7382495065685364e-06,3.822509097517468e-06
18,0.0029199826531112194,0.0018475304823368788,0.003214190248399973,0.0009982100455090404,7.607154839206487e-06,7.095539331203327e-06,0.00437908573076129,0.004417222924530506,0.005436810664832592,0.00044852684368379414,1.8460917635820807e-05,1.1850790178868921e-05
19,0.0030215727165341377,0.0015798222739249468,0.0023729437962174416,0.001250727567821741,1.0236126399831846e-05,6.750578177161515e-06,0.0017938019009307027,0.00022890041873324662,0.00018679119239095598,0.0004045274399686605,3.557607487891801e-06,8.442383841611446e-06
20,0.002102504950016737,0.00024582509649917483,0.00025444093625992537,0.00032797170570120215,2.6758352760225534e-06,3.303583071101457e-06,0.0027809932362288237,0.00020886366837657988,0.00029459307552315295,0.0002533342922106385,2.5022285626619126e-06,6.6673514083959166e-06
21,0.002232037950307131,0.00027728627901524305,0.0002743224904406816,0.000243196205701679,2.944224252132699e-06,4.1887295083142815e-06,0.0018470727372914553,0.001324526616372168,0.002884651068598032,0.000131932960357517,2.120774479408283e-06,5.168251664144919e-06
22,0.0021704824175685644,0.0004210966289974749,0.0003447227063588798,0.00047754106344655156,2.676539770618547e-06,4.368225199868903e-06,0.0017076191725209355,0.00030614511342719197,0.0001300566946156323,0.00043483154149726033,2.2001788238412702e-06,1.4372573059517891e-05
23,0.0021301074884831905,0.0003301865071989596,0.00018443146836943924,0.0007874785223975778,3.192944495822303e-06,4.372987314127386e-06,0.002066276501864195,0.0005872296751476824,0.0002080021076835692,0.0004039766499772668,3.4383228921797127e-06,1.4849543731543236e-06
24,0.0019514758605509996,0.00038966824649833143,0.0005530820926651359,0.0005466551519930363,3.625019598985091e-06,3.3792130125220865e-06,0.0018690150463953614,0.001434315461665392,0.004360639490187168,0.001329204998910427,7.432535494444892e-06,1.7221462258021348e-06
25,0.002740322146564722,0.0009085059864446521,0.0011454421328380704,0.0010300929425284266,6.058703002054245e-06,7.498249760828913e-06,0.0017020376399159431,0.0012654009042307734,0.0015928278444334865,0.0005261622136458755,3.7556368624791506e-06,2.254229912068695e-06
26,0.0024505499750375748,0.0009724851115606725,0.0011926408624276519,0.0008743655635043979,6.117529119364918e-06,4.276897743693553e-06,0.00342791760340333,0.0007215046207420528,0.0008857305510900915,0.00014220326556824148,3.136753002763726e-06,2.3360042541753503e-05
