epoch,learning_rate,epoch_seconds,elapsed_seconds,train_total,train_temperature,train_logF,train_retention,train_physics,train_trajectory_F,train_initial,train_continuity,train_selection_score,validation_total,validation_temperature,validation_logF,validation_retention,validation_physics,validation_trajectory_F,validation_initial,validation_continuity,validation_selection_score
1,0.0010000000474974513,105.80388157400012,105.80388487399614,2.168778657913208,0.3426167964935303,0.12219518423080444,0.09904571622610092,2.50046706199646,2.5556135177612305,0.055172260850667953,0.06553036719560623,1.8953666687011719,0.09232450276613235,0.013272332958877087,0.02820955216884613,0.027273690328001976,0.020077431574463844,0.05764635279774666,0.000739860231988132,0.0018389108590781689,0.7207527756690979
2,0.0010000000474974513,30.404421246996208,136.2083788259988,0.04289031773805618,0.006756884511560202,0.009463016875088215,0.013573859818279743,0.012381458654999733,0.018371406942605972,0.0002881498367059976,0.0012012663064524531,0.43904849886894226,0.028108954429626465,0.004169299732893705,0.004888763185590506,0.011531324125826359,0.006583778187632561,0.007606961764395237,0.0002288768155267462,0.0003548854438122362,0.3461815416812897
3,0.0010000000474974513,30.229141429001174,166.43753570300032,0.021612035110592842,0.0034396639093756676,0.003568875603377819,0.007989516481757164,0.006253478117287159,0.008066650480031967,0.00016666388546582311,0.00030909659108147025,0.3055082857608795,0.01238984428346157,0.0026265315245836973,0.001275632414035499,0.00200619432143867,0.007652104366570711,0.007854588329792023,0.00011150047066621482,0.00017752703570295125,0.2409655749797821
4,0.0010000000474974513,30.40787108099903,196.8454210150012,0.007365639787167311,0.002014578552916646,0.0008767147664912045,0.0010171724716201425,0.002830308396369219,0.003268250497058034,9.789791511138901e-05,0.00017647218191996217,0.1684873253107071,0.009002224542200565,0.0025821414310485125,0.0009440946741960943,0.0024318459909409285,0.0008813254535198212,0.002136195544153452,6.320443208096549e-05,0.000150180741911754,0.18319250643253326
5,0.0010000000474974513,30.357445436005946,227.2028918779979,0.008081511594355106,0.0018064328469336033,0.0010129481088370085,0.0010070356074720621,0.004852038808166981,0.004763926845043898,8.432984759565443e-05,0.00014209686196409166,0.18258990347385406,0.010524214245378971,0.0017250706441700459,0.0007653762004338205,0.0016377621795982122,0.009302868507802486,0.009931358508765697,7.974517211550847e-05,0.00011524768342496827,0.23142874240875244
6,0.0010000000474974513,30.332952516997466,257.5359091200007,0.009363751858472824,0.002132807159796357,0.001478939433582127,0.0014480288373306394,0.0043040490709245205,0.004832649137824774,7.047208055155352e-05,0.00012097141734557226,0.19701717793941498,0.010749811306595802,0.001442238804884255,0.001449834555387497,0.004964819177985191,0.002867593429982662,0.0023346678353846073,7.080442446749657e-05,9.803160355659202e-05,0.20590248703956604
7,0.0010000000474974513,30.38206406199606,287.9179878750001,0.010104857385158539,0.0019954938907176256,0.0016890944680199027,0.0021023787558078766,0.004600988235324621,0.005178425461053848,7.732948142802343e-05,0.00014173764793667942,0.2061597853899002,0.003929545171558857,0.0012156012235209346,0.0009683173266239464,0.0003982602502219379,0.00022218951198738068,0.0009310214663855731,9.697807399788871e-05,0.00010973331518471241,0.1177646666765213
8,0.0010000000474974513,30.260489715001313,318.1784945219988,0.004962943959981203,0.0014807471306994557,0.000613751239143312,0.000563285662792623,0.0016251059714704752,0.001644187606871128,4.7195557272061706e-05,7.140808884287253e-05,0.12826824188232422,0.00802390743046999,0.0013430548133328557,0.002629925264045596,0.0017586970934644341,0.0018761747051030397,0.0017672233516350389,5.287730527925305e-05,5.799911014037207e-05,0.1801639050245285
9,0.0010000000474974513,30.356212410995795,348.53472196799703,0.006473951507359743,0.001562888384796679,0.0009050703956745565,0.0009766961447894573,0.0029109353199601173,0.002896249061450362,4.358866499387659e-05,6.581836350960657e-05,0.15721063315868378,0.0032707401551306248,0.0011599757708609104,0.00027540416340343654,0.0004259232373442501,0.00048305364907719195,0.0004805503413081169,3.186949106748216e-05,4.747587445308454e-05,0.0964343324303627
10,0.0010000000474974513,30.288232177997997,378.8229684329999,0.0050618345849215984,0.0014786266256123781,0.000602652202360332,0.0006705405539833009,0.0016430519754067063,0.00173335918225348,4.170965257799253e-05,5.691801197826862e-05,0.13253289461135864,0.004366320092231035,0.0011790344724431634,0.0004859557666350156,0.0003409342316444963,0.002344507956877351,0.002300368156284094,4.1552306356607005e-05,4.952236849931069e-05,0.1329822689294815
