epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.6852335929870605,0.12219518423080444,0.09904571622610092,1.25023353099823,0.005517226085066796,0.006553036719560624,0.026544665917754173,0.02820955216884613,0.027273690328001976,0.010038715787231922,7.398602319881321e-05,0.0001838910859078169
2,0.013513769023120403,0.009463016875088215,0.013573859818279743,0.0061907293274998665,2.881498367059976e-05,0.00012012663064524532,0.00833859946578741,0.004888763185590506,0.011531324125826359,0.0032918890938162804,2.288768155267462e-05,3.548854438122362e-05
3,0.006879327818751335,0.003568875603377819,0.007989516481757164,0.0031267390586435795,1.666638854658231e-05,3.0909659108147026e-05,0.005253063049167395,0.001275632414035499,0.00200619432143867,0.0038260521832853556,1.1150047066621483e-05,1.7752703570295125e-05
4,0.004029157105833292,0.0008767147664912045,0.0010171724716201425,0.0014151541981846094,9.789791511138902e-06,1.7647218191996218e-05,0.005164282862097025,0.0009440946741960943,0.0024318459909409285,0.0004406627267599106,6.32044320809655e-06,1.5018074191175402e-05
5,0.0036128656938672066,0.0010129481088370085,0.0010070356074720621,0.0024260194040834904,8.432984759565443e-06,1.4209686196409167e-05,0.0034501412883400917,0.0007653762004338205,0.0016377621795982122,0.004651434253901243,7.974517211550847e-06,1.1524768342496828e-05
6,0.004265614319592714,0.001478939433582127,0.0014480288373306394,0.0021520245354622602,7.047208055155352e-06,1.2097141734557226e-05,0.00288447760976851,0.001449834555387497,0.004964819177985191,0.001433796714991331,7.080442446749658e-06,9.803160355659202e-06
7,0.003990987781435251,0.0016890944680199027,0.0021023787558078766,0.0023004941176623106,7.732948142802343e-06,1.4173764793667943e-05,0.002431202447041869,0.0009683173266239464,0.0003982602502219379,0.00011109475599369034,9.697807399788871e-06,1.0973331518471242e-05
8,0.0029614942613989115,0.000613751239143312,0.000563285662792623,0.0008125529857352376,4.719555727206171e-06,7.140808884287253e-06,0.0026861096266657114,0.002629925264045596,0.0017586970934644341,0.0009380873525515199,5.287730527925305e-06,5.799911014037207e-06
9,0.003125776769593358,0.0009050703956745565,0.0009766961447894573,0.0014554676599800587,4.3588664993876595e-06,6.5818363509606575e-06,0.002319951541721821,0.00027540416340343654,0.0004259232373442501,0.00024152682453859597,3.186949106748216e-06,4.747587445308455e-06
10,0.0029572532512247562,0.000602652202360332,0.0006705405539833009,0.0008215259877033532,4.170965257799253e-06,5.691801197826863e-06,0.002358068944886327,0.0004859557666350156,0.0003409342316444963,0.0011722539784386754,4.155230635660701e-06,4.952236849931069e-06
11,0.0034990934655070305,0.00206502596847713,0.0029211470391601324,0.0014362490037456155,4.9330388719681655e-06,9.306774882134051e-06,0.005073957610875368,0.00867188349366188,0.01211019791662693,0.0040715765208005905,8.400483056902886e-06,2.6421446818858385e-05
12,0.004661130718886852,0.0025718349497765303,0.005937088746577501,0.002333269687369466,1.0745372856035829e-05,1.547289139125496e-05,0.003437082516029477,0.00042759583448059857,0.0005915926885791123,0.0005729897529818118,2.7974394470220433e-06,3.1320301786763594e-06
13,0.002705627353861928,0.0004811601829715073,0.0006667168345302343,0.0010514144087210298,3.1291492632590234e-06,7.654337241547183e-06,0.0020601237192749977,0.00033497787080705166,0.0004639701801352203,0.0006575740990228951,2.58592172031058e-06,3.2264346373267475e-06
14,0.0021035040263086557,0.00014603053568862379,0.00011886184802278876,6.855008541606367e-05,1.5102276847756003e-06,2.7514073735801506e-06,0.0019426591461524367,0.0001641357084736228,0.0001954071194631979,3.693073449539952e-05,1.3133630091033412e-06,3.200411447323859e-06
15,0.0021411662455648184,0.00014114273653831333,0.00015194920706562698,4.442774661583826e-05,1.24986454466125e-06,2.982379919558298e-06,0.0019601713865995407,0.00015414388326462358,0.00010039132757810876,4.024234294774942e-05,1.1813642231572887e-06,2.2294498194241896e-06
16,0.0021029645577073097,0.0001128563962993212,8.673589036334306e-05,4.05877799494192e-05,1.1221075510547962e-06,2.846382631105371e-06,0.0017836152110248804,0.00010909233242273331,0.00010125355038326234,7.850386464269832e-05,1.3297348232299556e-06,3.3202035410795364e-06
17,0.002045277040451765,0.00014834174362476915,0.0001391194382449612,3.971950354753062e-05,1.165301728178747e-06,3.2903833925956863e-06,0.0018351327162235975,0.00010571902384981513,6.48566783638671e-05,4.846207957598381e-05,9.965599929273595e-07,2.3541617338196376e-06
18,0.0021244760137051344,0.00012985672219656408,0.000117624738777522,5.009247252019122e-05,1.235293530044146e-06,2.93219000013778e-06,0.0019736874382942915,0.00015945351333357394,0.00013260771811474115,7.232449570437893e-05,1.1356617505953182e-06,2.344450513191987e-06
19,0.0020140160340815783,0.00012605483061634004,0.00011020517558790743,5.426005009212531e-05,1.0423198546050117e-06,2.779966780508403e-06,0.0018407272873446345,0.0001444693625671789,0.0001450967538403347,4.468585757422261e-05,1.3177513210393955e-06,1.751930540194735e-06
20,0.0020813012961298227,0.00014117265527602285,9.596370364306495e-05,5.2728031732840464e-05,1.133301884692628e-06,2.7750669687520716e-06,0.0018353040795773268,0.00020170416973996907,0.00032864161767065525,6.875526014482602e-05,1.6542331650271081e-06,1.7264341295231135e-06
21,0.0021020511630922556,0.0002037754893535748,0.00023368590336758643,8.78718274179846e-05,1.0800019481393974e-06,3.3987911592703316e-06,0.0018509294604882598,0.00020799424964934587,0.0005952160572633147,0.00018094129336532205,9.832806426857132e-07,1.919341775646899e-06
22,0.0018961885944008827,0.00011085643200203776,0.00011741792695829645,2.734661211434286e-05,7.679901500523557e-07,1.9797204004134984e-06,0.0017700112657621503,8.971009083325043e-05,4.3137086322531104e-05,1.4470448149950244e-05,8.768783118284773e-07,2.6362980861449618e-06
23,0.001858962932601571,9.105596109293401e-05,6.488695362349972e-05,1.7528052921989e-05,7.603137419209816e-07,1.8756511053652504e-06,0.001829209504649043,0.00010341964662075043,5.0517825002316386e-05,1.1669488230836578e-05,7.651347914361396e-07,2.766635225270875e-06
24,0.0019590090960264206,9.004372986964881e-05,5.5208227422554046e-05,1.516194697614992e-05,7.687604011152871e-07,2.1495785404113122e-06,0.0018334302585572004,9.15429336600937e-05,5.282808706397191e-05,1.2094985322619323e-05,7.90949707152322e-07,2.292702629347332e-06
25,0.001888047787360847,8.773952868068591e-05,5.057968519395217e-05,1.8820244804373942e-05,7.644767720194069e-07,2.1780586394015702e-06,0.0019604074768722057,8.55390535434708e-05,4.865066148340702e-05,1.8280134099768475e-05,7.380646820820403e-07,2.0086141375941225e-06
26,0.0019267292227596045,8.940354018704966e-05,6.063196633476764e-05,1.4944442227715626e-05,7.107608325895854e-07,1.8446582544129344e-06,0.0018268065759912133,9.791937918635085e-05,4.6181401557987556e-05,1.3184953786549158e-05,7.410038961097598e-07,1.8341361283091828e-06
27,0.0018112501129508018,7.31781983631663e-05,3.859708158415742e-05,9.341199074697215e-06,6.363351531035733e-07,1.6866821169969627e-06,0.001737356884405017,8.60025902511552e-05,4.383203850011341e-05,8.546438948542345e-06,6.597050742129795e-07,1.2863599295087626e-06
28,0.0017931400798261166,7.312464731512591e-05,3.5522374673746526e-05,8.780245480011217e-06,6.241007667995291e-07,1.578802584845107e-06,0.0017747809179127216,8.397253986913711e-05,5.0267390179215e-05,1.149905347119784e-05,6.916085567354458e-07,1.424126821802929e-06
29,0.0018053629901260138,6.98510484653525e-05,3.4224416594952345e-05,9.417372893949505e-06,6.224287972145249e-07,1.4315918633656112e-06,0.001942790113389492,8.07094038464129e-05,5.798684651381336e-05,7.685026503168046e-06,6.838518402219052e-07,1.6632071492495016e-06
