epoch,learning_rate,epoch_seconds,elapsed_seconds,train_total,train_temperature,train_logF,train_retention,train_physics,train_trajectory_F,train_initial,train_continuity,train_selection_score,validation_total,validation_temperature,validation_logF,validation_retention,validation_physics,validation_trajectory_F,validation_initial,validation_continuity,validation_selection_score
1,0.0010000000474974513,119.04731029699906,119.04731353799798,0.43265271186828613,0.15052911639213562,0.055024754256010056,0.07288385927677155,4.332930564880371,4.384946823120117,0.014061372727155685,0.022795701399445534,2.0350537300109863,0.06813365966081619,0.01093943789601326,0.019961856305599213,0.026207853108644485,0.043794069439172745,0.04768437519669533,0.0003220135113224387,0.0005286898231133819,0.6724608540534973
2,0.0010000000474974513,32.69653397300135,151.74392209699727,0.02392685040831566,0.0050676194950938225,0.0057878801599144936,0.007946242578327656,0.042900584638118744,0.04380669817328453,0.00018968635413330048,0.0003851456567645073,0.46977338194847107,0.016722124069929123,0.004871494602411985,0.0031780980061739683,0.003741244785487652,0.06565991044044495,0.06287240982055664,8.399650687351823e-05,0.0005139101995155215,0.499965101480484
3,0.0010000000474974513,32.72035995800252,184.4643046050005,0.009470406919717789,0.0024331368040293455,0.0018273736350238323,0.0027495583053678274,0.011027888394892216,0.01134824100881815,7.411253318423405e-05,0.00019790409714914858,0.2610347867012024,0.015027289278805256,0.003741832682862878,0.0030569597147405148,0.00446938443928957,0.04758356884121895,0.034562643617391586,6.380949344020337e-05,0.00010899680637521669,0.4217778146266937
4,0.0010000000474974513,32.48886397299793,216.95319058599853,0.016047345474362373,0.0026624666061252356,0.0033279170747846365,0.0073630171827971935,0.016790974885225296,0.014487624168395996,6.736603245371953e-05,0.0002473939675837755,0.32489335536956787,0.00916567724198103,0.0014794914750382304,0.00424925796687603,0.0019362213788554072,0.0070825726725161076,0.005320857744663954,3.6575420381268486e-05,0.00017558244871906936,0.23785552382469177
5,0.0010000000474974513,32.55495859800067,249.50817521799763,0.00485885189846158,0.00153817399404943,0.0008881089743226767,0.0008798729977570474,0.005839589983224869,0.005794919095933437,3.2093594199977815e-05,0.00011313923459965736,0.18413954973220825,0.004218511749058962,0.0014930389588698745,0.0007194766658358276,0.0005046214791946113,0.00252338289283216,0.002167095197364688,2.034351200563833e-05,6.301132816588506e-05,0.1442195475101471
6,0.0010000000474974513,32.67291489999843,282.1811775699971,0.004447001498192549,0.0015755030326545238,0.0006439725402742624,0.0006376577075570822,0.0034067202359437943,0.0035099959932267666,2.094006777042523e-05,0.00012272398453205824,0.15739279985427856,0.009554448537528515,0.0021742733661085367,0.0016446806257590652,0.0035455639008432627,0.001241003628820181,0.002598384628072381,2.5201214157277718e-05,0.0001313635875703767,0.2035263180732727
7,0.0010000000474974513,32.57023201899938,314.7514223899998,0.007672786712646484,0.00167754665017128,0.002108051208779216,0.0021893801167607307,0.006193612702190876,0.005814298056066036,3.339615432196297e-05,0.00016922768554650247,0.21596062183380127,0.007100590970367193,0.0020395503379404545,0.0016958469059318304,0.0012259152717888355,0.0027539897710084915,0.005896687041968107,3.5711487726075575e-05,0.0009615717572160065,0.2088785320520401
8,0.0010000000474974513,32.513621357000375,347.2650576849992,0.007129369303584099,0.0016584077384322882,0.0017277805600315332,0.002057567937299609,0.006034349091351032,0.006038130261003971,2.941696766356472e-05,0.00024261993530672044,0.21242313086986542,0.012221578508615494,0.0012977919541299343,0.0014424161054193974,0.00816909410059452,0.005145640578120947,0.005876003298908472,4.0455764974467456e-05,0.00010437309538247064,0.2554053068161011
9,0.0010000000474974513,32.54072698500022,379.8057989209992,0.005045030731707811,0.0012733900221064687,0.0008405211847275496,0.0016446310328319669,0.005439824890345335,0.005306860897690058,2.6543744752416387e-05,0.00010443539213156328,0.1764940619468689,0.0026088410522788763,0.0009658887283876538,0.0003989840333815664,0.0002692641573958099,0.0013241703854873776,0.001183000043965876,1.1901142897841055e-05,7.625525176990777e-05,0.10718975961208344
10,0.0010000000474974513,32.48080267000114,412.2866173219991,0.003929966129362583,0.001335532171651721,0.0007109544239938259,0.0005326005630195141,0.002380001824349165,0.002454365137964487,1.4999437553342432e-05,0.00013846879301127046,0.13626284897327423,0.012974269688129425,0.0015015489188954234,0.0023466586135327816,0.007617077324539423,0.009301731362938881,0.009246790781617165,2.5090195777011104e-05,4.928397174808197e-05,0.29098713397979736
11,0.0010000000474974513,32.675073341000825,444.9617524899986,0.012173941358923912,0.0017387636471539736,0.004133973736315966,0.004517232999205589,0.012408635579049587,0.012005703523755074,5.918443639529869e-05,0.000392896996345371,0.2898954153060913,0.0074445344507694244,0.0013590045273303986,0.0010334051912650466,0.0036490238271653652,0.005690498277544975,0.006194073706865311,2.22307862713933e-05,0.00041872684960253537,0.22329214215278625
12,0.0010000000474974513,32.599912310000946,477.56167970299794,0.003506758250296116,0.0012262110831215978,0.0004285886825527996,0.0006060669547878206,0.002799078356474638,0.0030017057433724403,1.667829383222852e-05,0.00018012932559940964,0.13707077503204346,0.0026477137580513954,0.0009368400787934661,0.0002341579966014251,0.0005309924017637968,0.00047646425082348287,0.0006784428842365742,8.033693120523822e-06,8.079325198195875e-05,0.09578227996826172
13,0.0010000000474974513,32.61882074800087,510.18051672799993,0.003308160463348031,0.0011309148976579309,0.00033192106639035046,0.0006992712733335793,0.001982862362638116,0.0019883776549249887,1.3039611985732336e-05,0.00013834724086336792,0.12267038971185684,0.004444886930286884,0.001119566964916885,0.0013470256235450506,0.0008537085959687829,0.005988749209791422,0.007132106460630894,2.0957733795512468e-05,2.9221973818494007e-05,0.1994137018918991
14,0.0010000000474974513,32.55465923899828,542.7351894879976,0.004407637752592564,0.0013634262140840292,0.0006670478614978492,0.0009898997377604246,0.008287162519991398,0.00851170439273119,2.0726385628222488e-05,0.00021765143901575357,0.1824997365474701,0.009371815249323845,0.0035999862011522055,0.0017686487408354878,0.0003887638740707189,0.06108281761407852,0.07827197015285492,1.8575618014438078e-05,0.0001257390686077997,0.46040835976600647
15,0.0010000000474974513,32.6159602550033,575.351162908999,0.005009184125810862,0.0014019893715158105,0.0009247357957065105,0.0012570739490911365,0.0069085462018847466,0.007097914814949036,2.8271197152207606e-05,0.00020567732281051576,0.18703533709049225,0.008825990371406078,0.0009507696959190071,0.00125546392519027,0.00566504243761301,0.0051482017152011395,0.004311520140618086,1.2403317668940872e-05,2.70444288617e-05,0.22040918469429016
16,0.0010000000474974513,32.723286088999885,608.0745056759988,0.005545483902096748,0.0011817181948572397,0.0009697023779153824,0.002192890737205744,0.003677627071738243,0.003919013310223818,2.9535784051404335e-05,0.00016501700156368315,0.17742548882961273,0.00427043903619051,0.001267312909476459,0.0006307342555373907,0.001058749738149345,0.004558779764920473,0.006426225882023573,2.793239036691375e-05,0.00043535727309063077,0.18739330768585205
17,0.0005000000237487257,32.61575908500163,640.6902794809976,0.0022438508458435535,0.000895898265298456,0.00020698113075923175,0.0002377786295255646,0.0009255021577700973,0.001041406998410821,9.804839464777615e-06,6.314352503977716e-05,0.08857423067092896,0.002285853959619999,0.001023249700665474,0.00010256141104036942,0.00012807681923732162,0.00019887038797605783,0.0003306983853690326,4.916399575449759e-06,8.224486373364925e-05,0.07185213267803192
