epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.30105823278427124,0.055024754256010056,0.07288385927677155,0.0,0.0014061372727155687,0.0022795701399445536,0.02187887579202652,0.019961856305599213,0.026207853108644485,0.0,3.220135113224387e-05,5.286898231133819e-05
2,0.010135238990187645,0.0057878801599144936,0.007946242578327656,0.0,1.896863541333005e-05,3.8514565676450733e-05,0.00974298920482397,0.0031780980061739683,0.003741244785487652,0.0,8.399650687351823e-06,5.139101995155215e-05
3,0.004866273608058691,0.0018273736350238323,0.0027495583053678274,0.0,7.4112533184234055e-06,1.979040971491486e-05,0.007483665365725756,0.0030569597147405148,0.00446938443928957,0.0,6.380949344020337e-06,1.089968063752167e-05
4,0.005324933212250471,0.0033279170747846365,0.0073630171827971935,0.0,6.736603245371953e-06,2.4739396758377554e-05,0.002958982950076461,0.00424925796687603,0.0019362213788554072,0.0,3.6575420381268486e-06,1.7558244871906938e-05
5,0.00307634798809886,0.0008881089743226767,0.0008798729977570474,0.0,3.2093594199977815e-06,1.1313923459965736e-05,0.002986077917739749,0.0007194766658358276,0.0005046214791946113,0.0,2.0343512005638334e-06,6.301132816588507e-06
6,0.0031510060653090477,0.0006439725402742624,0.0006376577075570822,0.0,2.0940067770425233e-06,1.2272398453205825e-05,0.0043485467322170734,0.0016446806257590652,0.0035455639008432627,0.0,2.520121415727772e-06,1.313635875703767e-05
7,0.00335509330034256,0.002108051208779216,0.0021893801167607307,0.0,3.3396154321962968e-06,1.6922768554650248e-05,0.004079100675880909,0.0016958469059318304,0.0012259152717888355,0.0,3.5711487726075576e-06,9.615717572160066e-05
8,0.0033168154768645763,0.0017277805600315332,0.002057567937299609,0.0,2.941696766356472e-06,2.4261993530672044e-05,0.0025955839082598686,0.0014424161054193974,0.00816909410059452,0.0,4.045576497446746e-06,1.0437309538247065e-05
9,0.0025467800442129374,0.0008405211847275496,0.0016446310328319669,0.0,2.654374475241639e-06,1.0443539213156328e-05,0.0019317774567753077,0.0003989840333815664,0.0002692641573958099,0.0,1.1901142897841055e-06,7.625525176990778e-06
10,0.002671064343303442,0.0007109544239938259,0.0005326005630195141,0.0,1.4999437553342433e-06,1.3846879301127047e-05,0.003003097837790847,0.0023466586135327816,0.007617077324539423,0.0,2.5090195777011106e-06,4.928397174808197e-06
11,0.003477527294307947,0.004133973736315966,0.004517232999205589,0.0,5.9184436395298695e-06,3.92896996345371e-05,0.002718009054660797,0.0010334051912650466,0.0036490238271653652,0.0,2.22307862713933e-06,4.187268496025354e-05
