epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.4735005795955658,0.21440483629703522,0.12946180999279022,2.4975507259368896,0.013883568346500397,0.005683789029717445,0.0264846570789814,0.030278658494353294,0.032528042793273926,0.03738357871770859,0.0003262750105932355,0.00015538590960204602
2,0.020854206755757332,0.026070134714245796,0.031591206789016724,0.01051871944218874,0.00032807169482111935,0.00017262718174606564,0.009443467482924461,0.012864883989095688,0.008569838479161263,0.00919477827847004,6.2428048113361e-05,4.8583891475573183e-05
3,0.0109175443649292,0.012445114552974701,0.016571924090385437,0.007994689978659153,0.00017136754468083382,9.598144097253681e-05,0.0053439270704984665,0.00759098632261157,0.004587593022733927,0.013268131762742996,3.0138922738842666e-05,3.692016762215644e-05
4,0.007827329449355602,0.010635263286530972,0.01421236153692007,0.005707841832190752,0.0001249308348633349,7.336413254961373e-05,0.003708469681441784,0.006119944620877504,0.00485421484336257,0.006274604704231024,1.5998011804185808e-05,1.3664475409314038e-05
5,0.006499568000435829,0.009519324637949467,0.011245648376643658,0.006735293660312891,0.00010408209636807442,6.372498464770616e-05,0.003725038841366768,0.00259769381955266,0.0019616251811385155,0.007466559298336506,1.968989381566644e-05,1.564608101034537e-05
6,0.0053085945546627045,0.007710855919867754,0.009369508363306522,0.003922122530639172,8.483498822897673e-05,6.213623564690352e-05,0.002796121872961521,0.003105512587353587,0.002950436668470502,0.00455687427893281,8.180214354069904e-06,5.053339991718531e-05
7,0.0056765018962323666,0.008955348283052444,0.013460732065141201,0.005605929996818304,7.504126988351346e-05,6.131621776148677e-05,0.0023465692065656185,0.0017949864268302917,0.004472437314689159,0.0017074597999453545,9.236550249624998e-06,1.4646748604718596e-05
8,0.0048442319966852665,0.007216494996100664,0.009611474350094795,0.004355652257800102,6.289916345849634e-05,5.108389304950834e-05,0.002414196729660034,0.0027985202614217997,0.004082785453647375,0.0011395788751542568,6.476169073721394e-06,2.5562921655364336e-05
9,0.0040986607782542706,0.006423111539334059,0.009203959256410599,0.0037647802382707596,5.344700184650719e-05,4.586133291013539e-05,0.0018613358261063695,0.003035411238670349,0.0034526202362030745,0.006265454925596714,1.3829409726895393e-05,4.0453182009514425e-06
10,0.004122872371226549,0.006598848383873701,0.008269306272268295,0.005211954470723867,4.940155777148903e-05,4.204560827929527e-05,0.0023971095215529203,0.0037025148048996925,0.011889088898897171,0.005860126111656427,6.539564492413774e-06,2.309249684913084e-05
11,0.003931987565010786,0.006460933946073055,0.008790330030024052,0.0041284458711743355,4.48576407507062e-05,4.1497478378005326e-05,0.002013564109802246,0.0021870401687920094,0.0014768036780878901,0.0008573912782594562,5.285669612931088e-06,6.336923979688436e-06
12,0.003688366850838065,0.006066626403480768,0.007700256071984768,0.0029629813507199287,4.0188024286180735e-05,3.529824607539922e-05,0.0021473064552992582,0.0018642614595592022,0.0020954280626028776,0.0008663072367198765,8.70992080308497e-06,1.2107210204703734e-05
13,0.0034199757501482964,0.005624459125101566,0.00734343845397234,0.003426369046792388,3.854064852930606e-05,3.3693009754642844e-05,0.001724118716083467,0.004007185809314251,0.0058280364610254765,0.006166466046124697,1.1994675151072443e-05,3.804830193985254e-05
14,0.003546668216586113,0.005773424170911312,0.007300106808543205,0.003514980897307396,3.3262197393924e-05,3.259351360611618e-05,0.0015985093777999282,0.0021527279168367386,0.003953064791858196,0.0004927286645397544,4.113333125133068e-06,4.305251059122384e-06
15,0.0033832937479019165,0.0057370723225176334,0.0074675376527011395,0.0033300851937383413,3.082748153246939e-05,3.08316492009908e-05,0.0015109010273590684,0.001322030439041555,0.0019911339040845633,0.0004475814348552376,3.383351941010915e-06,1.942535454872996e-05
16,0.0032711492385715246,0.0054579973220825195,0.006388248410075903,0.0039673722349107265,2.9461274971254172e-05,3.274088958278299e-05,0.0019414511043578386,0.006733860820531845,0.012611204758286476,0.00244479114189744,8.079622057266534e-06,5.270481415209361e-06
17,0.0033307515550404787,0.005497730802744627,0.007179992273449898,0.0028267998713999987,3.1382005545310676e-05,2.651890681590885e-05,0.0021151865366846323,0.0020870526786893606,0.001035112887620926,0.0009032809175550938,4.543470640783198e-06,1.2714715558104218e-05
18,0.003254094161093235,0.0048364512622356415,0.005856575444340706,0.004238285589963198,2.517244138289243e-05,3.071254468522966e-05,0.0024580941535532475,0.002313130535185337,0.0008999785059131682,0.0059546190313994884,4.958793942932971e-06,2.818241046043113e-06
19,0.0033469349145889282,0.005318384151905775,0.007532801944762468,0.0029999681282788515,2.4580175522714854e-05,2.611959935165942e-05,0.001458417042158544,0.002526895608752966,0.004299605265259743,0.000809552613645792,1.707592746242881e-05,9.346923616249115e-06
20,0.002609073184430599,0.004237283021211624,0.005304247606545687,0.0018321735551580787,2.2755823738407344e-05,1.9468602840788665e-05,0.0011057299561798573,0.000772199418861419,0.0011054828064516187,0.0003222339728381485,1.82656804099679e-06,2.368966670474038e-06
21,0.00251100305467844,0.0040283496491611,0.004674765281379223,0.0018935457337647676,2.062456187559292e-05,1.7895406926982105e-05,0.0011345392558723688,0.000940860656555742,0.0010826224461197853,0.0003748820745386183,4.291156801627949e-06,6.902864697622135e-06
