epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.671034574508667,0.14285165071487427,0.12558645009994507,1.8323438167572021,0.015503504872322084,0.004814299196004868,0.1513732671737671,0.04409194365143776,0.05137106776237488,0.14949636161327362,0.0008310480974614621,0.0015485850162804127
2,0.05523958429694176,0.028064094483852386,0.03161097317934036,0.035697467625141144,0.0005134312435984611,0.0005800961051136256,0.011868113651871681,0.007603902369737625,0.007386761251837015,0.0023129053879529238,0.00010658315150067211,5.9027678798884156e-05
3,0.0121674295514822,0.011063800193369389,0.014113212004303932,0.008848385885357857,0.00020603784359991552,9.19850601349026e-05,0.006626946851611137,0.0050016166642308235,0.006804723758250475,0.01793549582362175,3.509981324896217e-05,1.92399209481664e-05
4,0.007587813306599855,0.008969963528215885,0.01354094035923481,0.005983096081763506,0.00014444210100919008,7.580106612294913e-05,0.003282842691987753,0.008344165980815887,0.0054960488341748714,0.0020566966850310564,1.9280880223959684e-05,2.610910451039672e-05
5,0.005674560554325581,0.008035131730139256,0.010702895000576973,0.0037919185124337673,0.00010803105542436243,5.660312599502504e-05,0.002182569820433855,0.001837030053138733,0.005201971158385277,0.004368975292891264,1.4267340884543956e-05,8.256581349996851e-06
6,0.005172815173864365,0.007076888345181942,0.00836143083870411,0.00811787974089384,9.156744345091284e-05,6.837719702161849e-05,0.0036503844894468784,0.003178428625687957,0.004533787723630667,0.010750089772045612,2.2928470571059734e-05,8.25494498712942e-06
7,0.004790776874870062,0.007229815702885389,0.009067876264452934,0.007244481239467859,8.049682364799083e-05,4.6490901149809366e-05,0.0023737940937280655,0.002604137174785137,0.005485209636390209,0.008853391744196415,7.219751569209621e-06,1.8687195552047343e-05
8,0.004370495211333036,0.007206782698631287,0.01029327791184187,0.004979768767952919,7.062727818265558e-05,4.1856031748466195e-05,0.002498147776350379,0.010248142294585705,0.00805103499442339,0.005589782726019621,1.4851856394670904e-05,1.9384006736800075e-05
9,0.0038051316514611244,0.006505370605736971,0.007810375187546015,0.003751676296815276,6.0880143428221346e-05,3.468298236839473e-05,0.002100196434184909,0.0017243847250938416,0.004569461569190025,0.00031380553264170885,7.331920642172918e-06,3.390834899619222e-06
10,0.0038300328887999058,0.005628136917948723,0.007897443138062954,0.00477765453979373,5.694046267308295e-05,3.547351807355881e-05,0.002175859874114394,0.0037522839847952127,0.0054883770644664764,0.0044817556627094746,4.369631278677844e-06,1.7607482732273638e-05
11,0.003986365161836147,0.00577027490362525,0.009283171966671944,0.004526922013610601,5.0394283607602124e-05,3.360885893926025e-05,0.002229937817901373,0.0018665104871615767,0.009328381158411503,0.003879851195961237,7.5187519541941585e-06,6.656738696619869e-06
