epoch,learning_rate,epoch_seconds,elapsed_seconds,train_total,train_temperature,train_logF,train_retention,train_physics,train_trajectory_F,train_initial,train_continuity,train_selection_score,validation_total,validation_temperature,validation_logF,validation_retention,validation_physics,validation_trajectory_F,validation_initial,validation_continuity,validation_selection_score
1,0.0010000000474974513,167.79739588300436,167.79739953800163,0.5521191954612732,0.1943846195936203,0.0683051124215126,0.08892307430505753,5.421848773956299,5.349699974060059,0.032693635672330856,0.028525276109576225,2.7091753482818604,0.05242345854640007,0.013318807817995548,0.013442843221127987,0.012135637924075127,0.17823471128940582,0.20220379531383514,0.0010368138318881392,0.00103679858148098,0.892203688621521
2,0.0010000000474974513,79.46068672100228,247.25816152100015,0.03289391100406647,0.007896694354712963,0.007220201659947634,0.009733349084854126,0.11010020971298218,0.114105723798275,0.0007972875027917325,0.0006724007544107735,0.650488018989563,0.027838239446282387,0.005306141916662455,0.0028594890609383583,0.014276267029345036,0.036954615265131,0.039706479758024216,0.0005787987029179931,0.0003231994342058897,0.4882816970348358
3,0.0010000000474974513,79.74236016099894,327.00053609400493,0.01937374658882618,0.0037237931974232197,0.003357168985530734,0.008504736237227917,0.03730028495192528,0.03584808483719826,0.00039226014632731676,0.00025028930394910276,0.43059441447257996,0.033934853971004486,0.0028977449983358383,0.005522287916392088,0.02256883680820465,0.03921107202768326,0.029907217249274254,0.0003533426206558943,0.000129000298329629,0.4965299665927887
4,0.0010000000474974513,79.87694576699869,406.8774972740066,0.010090986266732216,0.0027007933240383863,0.0017767843091860414,0.0028633316978812218,0.02245311252772808,0.02231457084417343,0.0002880938118323684,0.0002047413436230272,0.3138839900493622,0.012523436918854713,0.004490245133638382,0.0017327384557574987,0.0017477805959060788,0.021403338760137558,0.021822042763233185,0.0002490040787961334,0.00037525471998378634,0.332535058259964
5,0.0010000000474974513,79.86120166399633,486.73872069800564,0.008519039489328861,0.0027949893847107887,0.0011260397732257843,0.001759162056259811,0.018211327493190765,0.01823563687503338,0.00022162012464832515,0.00021693372400477529,0.2717963457107544,0.004154883790761232,0.0015046321786940098,0.0007574071059934795,0.00037470977986231446,0.004128722008317709,0.0038352981209754944,4.574233025778085e-05,8.928137685870752e-05,0.16089825332164764
6,0.0010000000474974513,79.63586836399918,566.3746604250045,0.0054792724549770355,0.0020242210011929274,0.0007282787701115012,0.0006761869881302118,0.008779150433838367,0.00883238110691309,0.00010574736370472237,0.0001579016970936209,0.20457616448402405,0.005205352790653706,0.0013444643700495362,0.0011616147821769118,0.001334730419330299,0.0058281635865569115,0.0054848212748765945,6.496461719507352e-05,0.00013582254177890718,0.19672411680221558
7,0.0010000000474974513,79.59130279000237,645.965976284002,0.006387575529515743,0.001733183627948165,0.0011704578064382076,0.0017170170322060585,0.009268364869058132,0.009277106262743473,0.00019933808653149754,0.00013798395229969174,0.2217705100774765,0.013176926411688328,0.0024182323832064867,0.004314292222261429,0.003992025274783373,0.013352117501199245,0.027183299884200096,0.00010053396545117721,0.00024089023645501584,0.36871376633644104
8,0.0010000000474974513,79.25408438800514,725.2200781240026,0.007265904918313026,0.0016727434704080224,0.0017575208330526948,0.0021269568242132664,0.012052440084517002,0.011110132560133934,0.00020524834690149873,0.00015416101086884737,0.24513429403305054,0.004192141816020012,0.0013373297406360507,0.0009383115102536976,0.00056314910762012,0.011891944333910942,0.01121081504970789,0.00012024117313558236,3.9978483982849866e-05,0.2207501381635666
9,0.0010000000474974513,79.4854153349952,804.7055361599996,0.007123208604753017,0.0019331923685967922,0.0012210002169013023,0.0019980338402092457,0.010782377794384956,0.010214290581643581,0.00020977230451535434,0.0001681251305853948,0.23299771547317505,0.01873401552438736,0.008371103554964066,0.0004490595601964742,0.0014116661623120308,0.0574556440114975,0.05411304533481598,0.00015335081843659282,0.0011574667878448963,0.44189131259918213
10,0.0005000000237487257,80.08060458199907,884.786160968004,0.0038401796482503414,0.001583409495651722,0.0002804452378768474,0.0003758665407076478,0.005318561103194952,0.005363228730857372,4.761440504807979e-05,0.00012288030120544136,0.14426974952220917,0.00240533915348351,0.0009985301876440644,0.00017780870257411152,0.0002268643002025783,0.001464046654291451,0.0016972938319668174,1.2255276487849187e-05,2.3802220312063582e-05,0.10681255161762238
11,0.0005000000237487257,79.62709471699782,964.4133322050038,0.002460877876728773,0.001042641932144761,0.00019220462127123028,0.00017835864855442196,0.0018029905622825027,0.001844835001975298,2.3373910153168254e-05,2.6937566872220486e-05,0.10872823745012283,0.002786185359582305,0.0010807696962729096,0.000222285496420227,0.0003907069913111627,0.002787492237985134,0.002370123751461506,3.3640710171312094e-05,8.289339893963188e-05,0.1262563019990921
12,0.0005000000237487257,79.726395220001,1044.1397434960018,0.0025542115326970816,0.001095177256502211,0.00020061014220118523,0.00015625447849743068,0.0017620687140151858,0.0017918768571689725,2.59001026279293e-05,4.4022111978847533e-05,0.1081961914896965,0.0021707110572606325,0.000912355026230216,0.00016670556215103716,0.00017584189481567591,0.0007409323588944972,0.0008731719572097063,2.11357073567342e-05,1.3400771422311664e-05,0.08857022225856781
