epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.3887692391872406,0.0683051124215126,0.08892307430505753,0.0,0.003269363567233086,0.0028525276109576227,0.026637615635991096,0.013442843221127987,0.012135637924075127,0.0,0.00010368138318881393,0.000103679858148098
2,0.015793388709425926,0.007220201659947634,0.009733349084854126,0.0,7.972875027917325e-05,6.724007544107735e-05,0.01061228383332491,0.0028594890609383583,0.014276267029345036,0.0,5.787987029179931e-05,3.231994342058897e-05
3,0.007447586394846439,0.003357168985530734,0.008504736237227917,0.0,3.922601463273168e-05,2.5028930394910276e-05,0.005795489996671677,0.005522287916392088,0.02256883680820465,0.0,3.533426206558943e-05,1.2900029832962901e-05
4,0.005401586648076773,0.0017767843091860414,0.0028633316978812218,0.0,2.880938118323684e-05,2.047413436230272e-05,0.008980490267276764,0.0017327384557574987,0.0017477805959060788,0.0,2.490040787961334e-05,3.752547199837864e-05
5,0.0055899787694215775,0.0011260397732257843,0.001759162056259811,0.0,2.2162012464832517e-05,2.169337240047753e-05,0.0030092643573880196,0.0007574071059934795,0.00037470977986231446,0.0,4.574233025778085e-06,8.928137685870753e-06
6,0.004048442002385855,0.0007282787701115012,0.0006761869881302118,0.0,1.0574736370472239e-05,1.579016970936209e-05,0.0026889287400990725,0.0011616147821769118,0.001334730419330299,0.0,6.496461719507352e-06,1.3582254177890718e-05
7,0.00346636725589633,0.0011704578064382076,0.0017170170322060585,0.0,1.9933808653149756e-05,1.3798395229969174e-05,0.004836464766412973,0.004314292222261429,0.003992025274783373,0.0,1.0053396545117721e-05,2.4089023645501585e-05
8,0.003345486940816045,0.0017575208330526948,0.0021269568242132664,0.0,2.0524834690149876e-05,1.541610108688474e-05,0.0026746594812721014,0.0009383115102536976,0.00056314910762012,0.0,1.2024117313558236e-05,3.9978483982849864e-06
9,0.0038663847371935844,0.0012210002169013023,0.0019980338402092457,0.0,2.0977230451535434e-05,1.681251305853948e-05,0.01674220710992813,0.0004490595601964742,0.0014116661623120308,0.0,1.5335081843659282e-05,0.00011574667878448963
10,0.003166818991303444,0.0002804452378768474,0.0003758665407076478,0.0,4.761440504807979e-06,1.2288030120544136e-05,0.001997060375288129,0.00017780870257411152,0.0002268643002025783,0.0,1.2255276487849188e-06,2.3802220312063585e-06
11,0.002085283864289522,0.00019220462127123028,0.00017835864855442196,0.0,2.3373910153168254e-06,2.693756687222049e-06,0.0021615393925458193,0.000222285496420227,0.0003907069913111627,0.0,3.3640710171312095e-06,8.289339893963188e-06
12,0.002190354513004422,0.00020061014220118523,0.00015625447849743068,0.0,2.5900102627929303e-06,4.402211197884754e-06,0.001824710052460432,0.00016670556215103716,0.00017584189481567591,0.0,2.1135707356734202e-06,1.3400771422311665e-06
13,0.0021547474898397923,0.00022022935445420444,0.00029466397245414555,0.0,2.2544296371052042e-06,4.965551124769263e-06,0.002102202270179987,0.0004087611741852015,0.0005959192058071494,0.0,4.938604251947255e-06,3.099140667472966e-06
14,0.002142911544069648,0.00019818190776277333,0.0001423792273271829,0.0,2.6968820748152213e-06,5.016204158891924e-06,0.001738232676871121,0.00031417899299412966,0.00038470132858492434,0.0,1.6606951248832048e-06,3.157732862746343e-06
15,0.002323055872693658,0.00026705488562583923,0.00034378847340121865,0.0,3.391415157238953e-06,4.620742038241588e-06,0.0040389676578342915,0.0002699418691918254,0.0003938540758099407,0.0,4.615095895132982e-06,9.892000525724144e-06
16,0.002575027057901025,0.0002555947285145521,0.00021284614922478795,0.0,3.827467662631534e-06,9.510249947197736e-06,0.0021283281967043877,0.0003752871707547456,0.00030608856468461454,0.0,2.3670221708016473e-06,4.514894317253493e-06
17,0.001920789130963385,0.00013495633902493864,8.169459761120379e-05,0.0,1.1450551937741693e-06,2.686132211238146e-06,0.0017292198026552796,0.00010844221105799079,5.3518298955168575e-05,0.0,1.1315883966744878e-06,1.164757395599736e-06
18,0.0017735756700858474,0.00010899903281824663,5.897285518585704e-05,0.0,8.49329535412835e-07,1.9051836716243998e-06,0.0016873970162123442,9.945353667717427e-05,4.4292853999650106e-05,0.0,1.213699215441011e-06,1.097250515158521e-06
19,0.0018057656707242131,0.0001140800814027898,6.260872032726184e-05,0.0,1.0660745829227382e-06,1.3587862667918671e-06,0.0016004678327590227,0.00012059167784173042,4.7268549678847194e-05,0.0,1.2711427189060489e-06,1.4231071872927715e-06
20,0.001819789526052773,0.00012912563397549093,7.769672811264172e-05,0.0,1.178285947389668e-06,1.6782221791800112e-06,0.0017957730451598763,0.00012751651229336858,9.496397251496091e-05,0.0,1.0781293894979172e-06,1.587443330208771e-06
21,0.0018095620907843113,0.00011896932119270787,6.579274486284703e-05,0.0,1.062615956470836e-06,2.5193065084749835e-06,0.0017659345176070929,0.00014400837244465947,4.1842089558485895e-05,0.0,9.051192137121689e-07,1.8151979020331057e-06
22,0.0017100706463679671,9.518898878013715e-05,3.915982961189002e-05,0.0,7.569735771539854e-07,1.3185787793190686e-06,0.0015098978765308857,9.3130896857474e-05,3.613020817283541e-05,0.0,5.360349405236775e-07,6.065193247195566e-07
23,0.0017076930962502956,9.895788389258087e-05,4.216148590785451e-05,0.0,5.786742349300767e-07,1.3082594705338124e-06,0.0015544435009360313,0.00013514327292796224,3.754038698389195e-05,0.0,1.2039085049764254e-06,6.126575044618221e-07
24,0.0017379127675667405,9.87069943221286e-05,4.8059941036626697e-05,0.0,6.382993888109923e-07,1.188252281281166e-06,0.0015833398792892694,9.112173574976623e-05,3.9993185055209324e-05,0.0,5.668459834851092e-07,8.985885870060884e-07
25,0.0017538138199597597,9.486655471846461e-05,4.313979661674239e-05,0.0,5.728325504605892e-07,1.6398083971580492e-06,0.0014974207151681185,0.00012030920333927497,3.3429194445488974e-05,0.0,5.098698238725774e-07,3.576535391403013e-07
