epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.9008699059486389,0.17748162150382996,0.10438039898872375,2.271930456161499,0.006753847002983093,0.007872607558965683,0.08255627006292343,0.02969050407409668,0.09192172437906265,0.06063040345907211,9.170300909318031e-05,0.0004835316445678473
2,0.02094387635588646,0.015549841336905956,0.02021411620080471,0.030184976756572723,5.6596042122691875e-05,0.00019880530890077354,0.015645070001482964,0.009742962196469307,0.008530648425221443,0.021236801519989967,2.3013490135781467e-05,0.00011928613530471922
3,0.008582073263823986,0.003964435309171677,0.00579120684415102,0.013090268708765507,2.457102236803621e-05,6.28733600024134e-05,0.007661836687475443,0.0027859192341566086,0.0074316225945949554,0.003924851305782795,2.8232307522557678e-05,3.120386099908501e-05
4,0.006857770960777998,0.003733474062755704,0.007655366789549589,0.01259166281670332,1.756682904670015e-05,3.5040869261138144e-05,0.005539002362638712,0.002506766701117158,0.00234225788153708,0.009807541035115719,1.524090039310977e-05,5.347241531126202e-05
5,0.004851950332522392,0.0018057406414300203,0.0036703378427773714,0.0030248889233917,1.2637606414500625e-05,2.3396634787786752e-05,0.004241669084876776,0.0009224849054589868,0.0020740460604429245,0.0014687676448374987,9.469858923694119e-06,1.8072187958750874e-05
6,0.004111758433282375,0.001446265378035605,0.004135147202759981,0.0024926518090069294,1.0697939433157445e-05,1.4792277943342925e-05,0.0036731006111949682,0.0010613994672894478,0.0012000284623354673,0.0007029084372334182,8.964797598309816e-06,1.1833044845843688e-05
7,0.0033519910648465157,0.0008634682162664831,0.001305605168454349,0.0013380254385992885,6.425566971302033e-06,1.1227341019548476e-05,0.0023560153786092997,0.0008686109213158488,0.0010835264110937715,0.0007713845116086304,5.844905899721198e-06,1.2164995860075578e-05
8,0.003070034785196185,0.0007897168979980052,0.0015367164742201567,0.0007586185238324106,4.7357931180158635e-06,9.60773031692952e-06,0.003233687486499548,0.000489465135615319,0.0007852828712202609,0.0006625389796681702,3.622979784267955e-06,8.911557233659551e-06
9,0.002640688559040427,0.0005731370183639228,0.0009609753033146262,0.0006461884477175772,4.239556437823922e-06,8.035972859943285e-06,0.002510262653231621,0.0009400525013916194,0.0010379016166552901,0.0012952839024364948,4.9096219299826774e-06,6.275784835452214e-06
10,0.003150275908410549,0.0013230169424787164,0.0031983600929379463,0.0008574976236559451,4.978063225280494e-06,7.239972183015198e-06,0.0025901079643517733,0.00034357982804067433,0.00038801570190116763,0.0004700307617895305,8.800764771876858e-06,4.975407500751317e-06
11,0.002735436661168933,0.0008002754766494036,0.001687509473413229,0.0023670578375458717,5.572266309172847e-06,7.72030180087313e-06,0.0024874708615243435,0.0005095061496831477,0.0009196166065521538,0.0018027115147560835,1.8227013060823084e-05,2.3149662592913958e-05
12,0.002842628164216876,0.0009308498702012002,0.001016878872178495,0.001913118758238852,8.352598524652422e-06,7.874349103076384e-06,0.0023734422866255045,0.001994456397369504,0.0006140497280284762,0.0005360317300073802,2.311005664523691e-06,8.587697084294633e-06
13,0.0025009464006870985,0.0005831514135934412,0.00043679316877387464,0.0010395839344710112,4.013073339592665e-06,5.861857425770723e-06,0.001893884502351284,0.0005432244506664574,0.00025090965209528804,0.0001811583642847836,2.3616099497303368e-06,4.973168324795552e-06
14,0.002501600654795766,0.0010722444858402014,0.001595356734469533,0.0009863139130175114,4.184962745057419e-06,5.200785017223098e-06,0.0025456591974943876,0.0013128977734595537,0.0016400556778535247,0.001927143894135952,4.1974439227487895e-06,3.922062751371414e-06
15,0.0027426055166870356,0.0007884576916694641,0.0008716618758626282,0.0011306374799460173,3.7684159906348215e-06,5.671265535056591e-06,0.002340727485716343,0.001281318487599492,0.0006450549117289484,0.0005491945776157081,2.4446571842418052e-06,6.132389535196126e-06
16,0.0023460856173187494,0.00080756691750139,0.0012503595789894462,0.0013861668994650245,4.220484697725624e-06,6.094355921959505e-06,0.0031295709777623415,0.0015628759283572435,0.0016408113297075033,0.008450395427644253,1.7535941879032181e-06,3.3192267437698323e-06
17,0.0023388287518173456,0.0008002553367987275,0.0006194236339069903,0.0021668733097612858,5.041581243858673e-06,5.386927296058275e-06,0.0020063016563653946,0.0004685450403485447,0.00023437448544427752,0.0012028050841763616,5.839429286425002e-06,5.722838250221685e-06
18,0.001796929631382227,0.0001894968590931967,0.00014575525710824877,0.00014016534260008484,1.6866086298250594e-06,2.767929072433617e-06,0.0014756880700588226,0.000129095307784155,8.879010420059785e-05,5.644908014801331e-05,1.6420774045400323e-06,2.1410760382423177e-06
19,0.0017384615493938327,0.0001533835893496871,0.00023564603179693222,4.0571561839897186e-05,1.1980429007962813e-06,2.6239400540362113e-06,0.001854587346315384,0.0002529933990444988,0.00015162589261308312,0.0001161862674052827,1.1385853213141673e-06,3.954134081141092e-06
