epoch,learning_rate,epoch_seconds,elapsed_seconds,train_total,train_temperature,train_logF,train_retention,train_physics,train_trajectory_F,train_initial,train_continuity,train_selection_score,validation_total,validation_temperature,validation_logF,validation_retention,validation_physics,validation_trajectory_F,validation_initial,validation_continuity,validation_selection_score
1,0.0010000000474974513,181.49373379400004,181.4937365650003,3.677334785461426,0.7326492667198181,0.21636568009853363,0.13004638254642487,5.1663713455200195,5.238965034484863,0.10230819135904312,0.04858585074543953,2.948977470397949,0.3278319239616394,0.22839635610580444,0.037041690200567245,0.03589634224772453,0.050714172422885895,0.06833788007497787,0.002410073531791568,0.008994057774543762,1.170942783355713
2,0.0010000000474974513,47.62692134400004,229.12071504600044,0.23535828292369843,0.10005322843790054,0.03830231353640556,0.03818444907665253,0.11510586738586426,0.1527840942144394,0.0035314690321683884,0.009121649898588657,1.080361247062683,0.046661458909511566,0.016093498095870018,0.01649787276983261,0.010164719074964523,0.007577031850814819,0.018057916313409805,0.00032770715188235044,0.0008408441208302975,0.5077496767044067
3,0.0010000000474974513,47.730732035000074,276.8514898499998,0.06069115549325943,0.020103977993130684,0.014375966042280197,0.018112240359187126,0.01564193330705166,0.02125127799808979,0.0015314879128709435,0.0012484787730500102,0.5641403794288635,0.03146595135331154,0.009391398169100285,0.008761106990277767,0.005112395156174898,0.0162388663738966,0.02130129188299179,0.000288869981886819,0.00052727444563061,0.4349961578845978
4,0.0010000000474974513,47.649864549000085,324.50137612800063,0.044923290610313416,0.010884116403758526,0.01143938209861517,0.014661549590528011,0.015462354756891727,0.017908193171024323,0.0011169180506840348,0.0009537304285913706,0.48809900879859924,0.021942421793937683,0.004197654314339161,0.006553353741765022,0.005739557556807995,0.010864040814340115,0.01004925835877657,9.983844211092219e-05,9.852064977167174e-05,0.34423789381980896
5,0.0010000000474974513,47.91457160200025,372.4159711829998,0.035665370523929596,0.007521438878029585,0.010288311168551445,0.011897960677742958,0.011606245301663876,0.013414960354566574,0.000871462922077626,0.0006738766096532345,0.43348759412765503,0.00894793588668108,0.002766977297142148,0.0025303151924163103,0.002141035394743085,0.0029780573677271605,0.004029679112136364,9.163612412521616e-05,0.00011415068729547784,0.2227138876914978
6,0.0010000000474974513,47.83177985899965,420.24781854200046,0.029770053923130035,0.006448986940085888,0.008310920558869839,0.009783260524272919,0.010180532932281494,0.01161682978272438,0.0007326020859181881,0.0006336300284601748,0.3964567482471466,0.008969546295702457,0.002397180302068591,0.0028549637645483017,0.0018940838053822517,0.0035773806739598513,0.0024956678971648216,9.305401908932254e-05,0.0002532241342123598,0.20840328931808472
7,0.0010000000474974513,47.78050448999966,468.0283387119998,0.03295666351914406,0.006163779646158218,0.009041604585945606,0.013071827590465546,0.009120560251176357,0.010996791534125805,0.0006308036390691996,0.0005608518840745091,0.4085368514060974,0.012068523094058037,0.003263504710048437,0.002398276701569557,0.00493180938065052,0.0029075858183205128,0.00567237101495266,7.84714356996119e-05,0.00013291054347064346,0.2618805170059204
8,0.0010000000474974513,47.892409307999515,515.9207736500002,0.02654818259179592,0.005436806008219719,0.00744054326787591,0.009803392924368382,0.007516986690461636,0.008785116486251354,0.0005586576880887151,0.0005307437386363745,0.3685101568698883,0.015385105274617672,0.0021645205561071634,0.001811690628528595,0.008099584840238094,0.006560461595654488,0.008119635283946991,8.876904030330479e-05,0.0002020016690948978,0.2861350178718567
9,0.0010000000474974513,47.760323431999495,563.6811151960001,0.024537302553653717,0.004504223354160786,0.006608931347727776,0.009397227317094803,0.007858000695705414,0.00851714052259922,0.0005243815248832107,0.00045487243914976716,0.3531683087348938,0.00862495880573988,0.002011062577366829,0.002935495926067233,0.0029270490631461143,0.0014314546715468168,0.0032694092951714993,0.00013435177970677614,0.00022187888680491596,0.21621356904506683
10,0.0010000000474974513,47.80376656699991,611.4848963630002,0.022836176678538322,0.004571843892335892,0.00626343535259366,0.00799538940191269,0.007827811874449253,0.008602198213338852,0.00046872199163772166,0.0004473453445825726,0.34490618109703064,0.025084327906370163,0.0026009755674749613,0.004917846526950598,0.012010357342660427,0.011091971769928932,0.007459778804332018,3.844718594336882e-05,5.314051668392494e-05,0.3400854766368866
11,0.0005000000237487257,47.64496860700001,659.1299193920004,0.019978921860456467,0.0036812613252550364,0.0057716770097613335,0.007948895916342735,0.005004586186259985,0.005401682108640671,0.0003854504902847111,0.0003624945820774883,0.31215009093284607,0.0071983677335083485,0.0014232393587008119,0.0019476772285997868,0.0024014818482100964,0.002838031155988574,0.0024925419129431248,2.6124978830921464e-05,4.341360181570053e-05,0.1898455172777176
12,0.0005000000237487257,47.655612032000136,706.785551334,0.018306009471416473,0.003523114835843444,0.005421070847660303,0.006707417778670788,0.005167814902961254,0.005467275623232126,0.0003609966370277107,0.0003440141153987497,0.3029555082321167,0.005588151048868895,0.0013452846324071288,0.0011212907265871763,0.0028389759827405214,0.0005504123400896788,0.0008458709926344454,1.6454900105600245e-05,5.7480126997688785e-05,0.15408742427825928
13,0.0005000000237487257,47.75797601400063,754.5435502760001,0.017664525657892227,0.003553477581590414,0.00504361093044281,0.0066951485350728035,0.004611405543982983,0.005304364953190088,0.00034326931927353144,0.0003226239059586078,0.2983892261981964,0.0038541073445230722,0.0013841608306393027,0.0012545022182166576,0.00037931150291115046,0.001659156521782279,0.0034155738539993763,2.606268026283942e-05,3.9475897210650146e-05,0.15609398484230042
14,0.0005000000237487257,47.72321637500045,802.2667811800002,0.016862811520695686,0.0034629323054105043,0.005124480929225683,0.005805570632219315,0.004814501386135817,0.005265960469841957,0.0003221054212190211,0.0003036409034393728,0.2928384840488434,0.006704383064061403,0.002069014823064208,0.0012282991083338857,0.001965346746146679,0.002867109840735793,0.005497273989021778,1.4157253644953016e-05,6.751582259312272e-05,0.20981401205062866
