epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.7326492667198181,0.21636568009853363,0.13004638254642487,2.5831856727600098,0.010230819135904312,0.004858585074543953,0.22839635610580444,0.037041690200567245,0.03589634224772453,0.025357086211442947,0.0002410073531791568,0.0008994057774543763
2,0.10005322843790054,0.03830231353640556,0.03818444907665253,0.05755293369293213,0.00035314690321683887,0.0009121649898588658,0.016093498095870018,0.01649787276983261,0.010164719074964523,0.0037885159254074097,3.277071518823504e-05,8.408441208302976e-05
3,0.020103977993130684,0.014375966042280197,0.018112240359187126,0.00782096665352583,0.00015314879128709437,0.00012484787730500103,0.009391398169100285,0.008761106990277767,0.005112395156174898,0.0081194331869483,2.8886998188681903e-05,5.2727444563061004e-05
4,0.010884116403758526,0.01143938209861517,0.014661549590528011,0.007731177378445864,0.00011169180506840349,9.537304285913707e-05,0.004197654314339161,0.006553353741765022,0.005739557556807995,0.005432020407170057,9.98384421109222e-06,9.852064977167174e-06
5,0.007521438878029585,0.010288311168551445,0.011897960677742958,0.005803122650831938,8.714629220776261e-05,6.738766096532345e-05,0.002766977297142148,0.0025303151924163103,0.002141035394743085,0.0014890286838635802,9.163612412521616e-06,1.1415068729547784e-05
6,0.006448986940085888,0.008310920558869839,0.009783260524272919,0.005090266466140747,7.326020859181881e-05,6.336300284601749e-05,0.002397180302068591,0.0028549637645483017,0.0018940838053822517,0.0017886903369799256,9.305401908932255e-06,2.532241342123598e-05
7,0.006163779646158218,0.009041604585945606,0.013071827590465546,0.004560280125588179,6.308036390691996e-05,5.608518840745092e-05,0.003263504710048437,0.002398276701569557,0.00493180938065052,0.0014537929091602564,7.84714356996119e-06,1.3291054347064347e-05
8,0.005436806008219719,0.00744054326787591,0.009803392924368382,0.003758493345230818,5.586576880887151e-05,5.307437386363745e-05,0.0021645205561071634,0.001811690628528595,0.008099584840238094,0.003280230797827244,8.87690403033048e-06,2.0200166909489783e-05
9,0.004504223354160786,0.006608931347727776,0.009397227317094803,0.003929000347852707,5.243815248832107e-05,4.548724391497672e-05,0.002011062577366829,0.002935495926067233,0.0029270490631461143,0.0007157273357734084,1.3435177970677615e-05,2.2187888680491598e-05
10,0.004571843892335892,0.00626343535259366,0.00799538940191269,0.0039139059372246265,4.6872199163772166e-05,4.473453445825726e-05,0.0026009755674749613,0.004917846526950598,0.012010357342660427,0.005545985884964466,3.844718594336882e-06,5.314051668392495e-06
11,0.0036812613252550364,0.0057716770097613335,0.007948895916342735,0.0025022930931299925,3.8545049028471114e-05,3.6249458207748834e-05,0.0014232393587008119,0.0019476772285997868,0.0024014818482100964,0.001419015577994287,2.6124978830921466e-06,4.341360181570053e-06
12,0.003523114835843444,0.005421070847660303,0.006707417778670788,0.002583907451480627,3.609966370277107e-05,3.440141153987497e-05,0.0013452846324071288,0.0011212907265871763,0.0028389759827405214,0.0002752061700448394,1.6454900105600247e-06,5.748012699768879e-06
13,0.003553477581590414,0.00504361093044281,0.0066951485350728035,0.0023057027719914913,3.432693192735315e-05,3.226239059586078e-05,0.0013841608306393027,0.0012545022182166576,0.00037931150291115046,0.0008295782608911395,2.606268026283942e-06,3.9475897210650144e-06
14,0.0034629323054105043,0.005124480929225683,0.005805570632219315,0.0024072506930679083,3.221054212190211e-05,3.036409034393728e-05,0.002069014823064208,0.0012282991083338857,0.001965346746146679,0.0014335549203678966,1.4157253644953016e-06,6.751582259312272e-06
15,0.003342216834425926,0.005309661850333214,0.006551777012646198,0.0022738997358828783,3.10330477077514e-05,2.8857175493612885e-05,0.0012144542997702956,0.0008863888797350228,0.0008840744849294424,0.0001861542696133256,2.4458300686092117e-06,4.9441521696280695e-06
16,0.003258449025452137,0.004783795215189457,0.0055749686434865,0.0020724046044051647,2.931769413407892e-05,2.8194425976835194e-05,0.0013920764904469252,0.0028057910967618227,0.00424308143556118,0.0006858274573460221,1.5776191503391602e-06,2.558439700806048e-06
17,0.003447916591539979,0.005098029971122742,0.006437657400965691,0.0022960295900702477,2.701748162508011e-05,2.653923584148288e-05,0.0018515337724238634,0.002228820463642478,0.003417309606447816,0.0004501699295360595,1.8726146663539112e-06,3.948542143916711e-06
