epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.5941373705863953,0.12336336076259613,0.08128715306520462,1.1884506940841675,0.004835830256342888,0.006872638314962387,0.024837901815772057,0.013095366768538952,0.020267602056264877,0.0104551175609231,3.538857854437083e-05,7.527417619712651e-05
2,0.010978209786117077,0.005910832900553942,0.009113691747188568,0.01302673202008009,3.0097272247076035e-05,5.690359394066036e-05,0.005821217317134142,0.001924472744576633,0.005387962330132723,0.0012086851056665182,2.1085425396449866e-05,2.2064908989705145e-05
3,0.005314437672495842,0.0019462080672383308,0.0036344120744615793,0.0023840968497097492,1.4651643869001419e-05,2.1400793048087508e-05,0.004109303466975689,0.00240606302395463,0.001539698801934719,0.0021813104394823313,1.7187833145726474e-05,2.7479478740133347e-05
4,0.0036263091024011374,0.0011778835905715823,0.0017764924559742212,0.0013455116422846913,9.932423563441263e-06,1.3969400606583804e-05,0.003276573494076729,0.00145497836638242,0.0006730497698299587,0.0012461182195693254,6.291432509897277e-06,9.861868602456526e-06
5,0.003700820729136467,0.0015970648964866996,0.003354796674102545,0.001629987615160644,7.42292104405351e-06,1.150200332631357e-05,0.0051270886324346066,0.0015042341547086835,0.00426696939393878,0.0020504554267972708,1.082148010027595e-05,2.0622440206352622e-05
6,0.004165018908679485,0.0015963303158059716,0.003038431517779827,0.0019129404099658132,7.028546679066495e-06,1.0439791367389262e-05,0.003305488731712103,0.0018460763385519385,0.0015527628129348159,0.0012369052274152637,7.106363773345948e-06,4.862342029809952e-06
7,0.003375182393938303,0.0012738570803776383,0.0019461751217022538,0.002306298352777958,7.231961353681982e-06,9.499192674411461e-06,0.0032107741571962833,0.001018127310089767,0.0030729209538549185,0.003214268246665597,4.657620593206957e-06,7.705252937739716e-06
8,0.0027137433644384146,0.000558582367375493,0.0005346973775885999,0.00096996093634516,4.069229180458933e-06,6.531663530040532e-06,0.0030218535102903843,0.00026174477534368634,0.00020614289678633213,0.0030598293524235487,2.3173526642494837e-06,1.1928484309464694e-05
9,0.0020810142159461975,0.00021418598771560937,0.0001892993604997173,0.0001674787054071203,2.024296554736793e-06,3.8017962651792915e-06,0.0023293890990316868,0.00014535275113303214,9.645377576816827e-05,5.750628042733297e-05,1.6850281099323183e-06,3.5068802390014754e-06
10,0.002024064539000392,0.0001747003843775019,0.00015605664520990103,5.4362521041184664e-05,1.7048116205842236e-06,3.2019099307945e-06,0.0025188818108290434,0.0001266744511667639,7.802068284945562e-05,0.00013654996291734278,1.5375273505924271e-06,2.8925469450769015e-06
