epoch,learning_rate,epoch_seconds,elapsed_seconds,train_total,train_temperature,train_logF,train_retention,train_physics,train_trajectory_F,train_initial,train_continuity,train_selection_score,validation_total,validation_temperature,validation_logF,validation_retention,validation_physics,validation_trajectory_F,validation_initial,validation_continuity,validation_selection_score
1,0.0010000000474974513,121.14102419400297,121.14102714999899,2.317854404449463,0.3428993821144104,0.13270260393619537,0.09767861664295197,2.7764031887054443,2.7785892486572266,0.05477192997932434,0.07994786649942398,2.0122594833374023,0.09990192204713821,0.01785532385110855,0.031798187643289566,0.021972738206386566,0.02023543417453766,0.027608804404735565,0.0006911690579727292,0.0023350748233497143,0.656284511089325
2,0.0010000000474974513,32.699417910997,153.84051315200486,0.05592041835188866,0.008561196736991405,0.011196937412023544,0.014072753489017487,0.02673339657485485,0.032553791999816895,0.00028918273164890707,0.0013270751805976033,0.5180495381355286,0.06739604473114014,0.004657493904232979,0.01049780286848545,0.04207859933376312,0.010814025066792965,0.01393179316073656,0.000184189309948124,0.0007923010271042585,0.5154734253883362
3,0.0010000000474974513,32.62723058499978,186.46776106700418,0.020167605951428413,0.0037523021455854177,0.0037090545520186424,0.006568875629454851,0.004671438131481409,0.007690971251577139,0.0001560991513542831,0.00033744151005521417,0.292304128408432,0.015959780663251877,0.0031811296939849854,0.0017881839303299785,0.002225046046078205,0.01110609620809555,0.013009751215577126,8.554121450288221e-05,0.00022689971956424415,0.28278639912605286
4,0.0010000000474974513,32.677782812999794,219.1455578189998,0.00956414919346571,0.002218052977696061,0.0014809954445809126,0.002382292877882719,0.0024750016164034605,0.0035415287129580975,9.140052134171128e-05,0.0001810858811950311,0.19937534630298615,0.013708262704312801,0.0019956929609179497,0.0013686742167919874,0.0019496529130265117,0.012756692245602608,0.013102485798299313,5.4604392062174156e-05,0.0001474578311899677,0.26558178663253784
5,0.0010000000474974513,32.61301059700054,251.7585933540031,0.011177990585565567,0.002181402873247862,0.0011943763820454478,0.0016888231039047241,0.007810942362993956,0.007347527891397476,0.00010430067050037906,0.0001608441525604576,0.21869774162769318,0.008404151536524296,0.0022392694372683764,0.0012400532141327858,0.0015105755301192403,0.0023047938011586666,0.0032473092433065176,0.00013665654114447534,8.920388063415885e-05,0.18824009597301483
6,0.0010000000474974513,32.65213976999803,284.4108019749983,0.008011446334421635,0.0018131553661078215,0.0010970693547278643,0.0018587724771350622,0.00281909410841763,0.0032659373246133327,7.881665806053206e-05,0.00011865086707985029,0.18048126995563507,0.012671577744185925,0.0022198886144906282,0.0009380560368299484,0.005080861505120993,0.004392916336655617,0.00591556029394269,9.03828622540459e-05,7.38589369575493e-05,0.23992247879505157
7,0.0010000000474974513,32.67296836099558,317.0837849899981,0.010262064635753632,0.0019258306128904223,0.001601513009518385,0.00173352868296206,0.00611165352165699,0.005422545596957207,6.685145490337163e-05,0.00012847523612435907,0.20530787110328674,0.01249309815466404,0.002096539130434394,0.0019120649667456746,0.0036159572191536427,0.005520232953131199,0.009528037160634995,5.031626278650947e-05,6.847132317489013e-05,0.2637701630592346
8,0.0010000000474974513,32.63310391399864,349.71690356900217,0.007390467915683985,0.0017552704084664583,0.0012962842592969537,0.0015277175698429346,0.0020820503123104572,0.002749033970758319,5.731412602472119e-05,9.16788267204538e-05,0.17120376229286194,0.01055763941258192,0.0012916834093630314,0.0021771672181785107,0.003099835477769375,0.005364771466702223,0.009549870155751705,3.7818081182194874e-05,0.00011102970893261954,0.25062087178230286
9,0.0010000000474974513,32.64653117099806,382.3634486400042,0.005554886534810066,0.0014354640152305365,0.0006810204940848053,0.0012113822158426046,0.0015587960369884968,0.001785168657079339,4.880691267317161e-05,7.276835094671696e-05,0.1418653428554535,0.0073397052474319935,0.0010671252384781837,0.0012047614436596632,0.0034386843908578157,0.0011040059616789222,0.002527068369090557,4.383692430565134e-05,5.622339085675776e-05,0.18039743602275848
10,0.0010000000474974513,32.65791180899396,415.02137450900045,0.0055723548866808414,0.001477019744925201,0.0008033848134800792,0.0009698866051621735,0.0016667520394548774,0.0018748394213616848,4.748789069708437e-05,6.91737441229634e-05,0.1440541297197342,0.011079548858106136,0.0016234974609687924,0.001498339930549264,0.00505637563765049,0.0025388551875948906,0.004312263336032629,2.3851354853832163e-05,6.0247468354646116e-05,0.2248937040567398
