epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.3160801827907562,0.05492265895009041,0.07510405033826828,0.0,0.0026668854057788852,0.0023358799517154694,0.034433331340551376,0.014761545695364475,0.016243187710642815,0.0,0.00013587219873443246,0.0001339582377113402
2,0.01238930132240057,0.007173973601311445,0.007219204679131508,0.0,8.226625504903495e-05,4.7404484939761465e-05,0.008171848952770233,0.005193428602069616,0.008228952996432781,0.0,4.540063091553748e-05,1.3133110769558698e-05
3,0.007116368506103754,0.0027375882491469383,0.003690446959808469,0.0,4.1687893099151554e-05,1.9286072347313166e-05,0.006961128208786249,0.004637453705072403,0.013647160492837429,0.0,5.495215300470591e-05,7.582225953228772e-06
4,0.005890784785151482,0.0025335249956697226,0.00510237505659461,0.0,3.378666297066957e-05,2.0975887309759855e-05,0.004338563419878483,0.0015950212255120277,0.0035640427377074957,0.0,2.1888015908189118e-05,7.1761853178031744e-06
5,0.004175188951194286,0.0009996730368584394,0.0009073249530047178,0.0,1.5747557335998865e-05,1.1492569319671021e-05,0.006093522533774376,0.0012776879593729973,0.0005839414079673588,0.0,2.3828831035643817e-05,1.1343134246999398e-05
6,0.003920402843505144,0.0008198459399864078,0.0005446480354294181,0.0,1.771568349795416e-05,1.1546403402462602e-05,0.004202741198241711,0.0006825450109317899,0.0019455956062301993,0.0,1.2023338786093519e-05,1.7627108900342136e-05
7,0.0035843532532453537,0.0015285707777366042,0.0010791609529405832,0.0,1.551825989736244e-05,1.0251053754473106e-05,0.0054330681450665,0.000857833307236433,0.0009905982296913862,0.0,8.359277853742243e-06,2.182130556320772e-05
8,0.0036014646757394075,0.0014028165023773909,0.0019500027410686016,0.0,1.79751223186031e-05,1.5072093810886145e-05,0.0061653368175029755,0.010611371137201786,0.0025582825765013695,0.0,4.9240031512454155e-05,8.14813538454473e-06
9,0.0036208557430654764,0.0014726989902555943,0.0014378027990460396,0.0,3.075354325119406e-05,1.3836874859407545e-05,0.003868173575028777,0.0013215418439358473,0.002960293786600232,0.0,8.960271225078032e-06,1.63362728926586e-06
10,0.003687838325276971,0.0010426805820316076,0.001916917273774743,0.0,1.465602545067668e-05,1.2872503430116923e-05,0.0038669765926897526,0.004223796539008617,0.026199843734502792,0.0,1.6537157353013755e-05,2.3045671696309e-05
11,0.002371580805629492,0.0007046703831292689,0.002059563994407654,0.0,6.941326864762232e-06,9.502364264335483e-06,0.0026710419915616512,0.00016085643437691033,7.293363887583837e-05,0.0,1.821815203584265e-06,3.182329601258971e-06
12,0.0020573579240590334,0.0002205228665843606,0.00017617156845517457,0.0,2.7603851776802913e-06,3.103286508121528e-06,0.0018967149080708623,0.00016890799452085048,0.0001241772115463391,0.0,1.976126804947853e-06,1.7496049622423016e-06
