epoch,learning_rate,epoch_seconds,elapsed_seconds,train_total,train_temperature,train_logF,train_retention,train_physics,train_trajectory_F,train_initial,train_continuity,train_selection_score,validation_total,validation_temperature,validation_logF,validation_retention,validation_physics,validation_trajectory_F,validation_initial,validation_continuity,validation_selection_score
1,0.0010000000474974513,118.39324793600099,118.39325130100042,2.4878029823303223,0.4554307758808136,0.178595632314682,0.10827106237411499,3.47113037109375,3.524040937423706,0.058914218097925186,0.04049782454967499,2.0814952850341797,0.06636272370815277,0.010508054867386818,0.016350364312529564,0.017408879473805428,0.0437312088906765,0.0486241914331913,0.0008712786948308349,0.001426946953870356,0.6320247054100037
2,0.0010000000474974513,25.10011744499934,143.4934498420007,0.035131096839904785,0.008672144263982773,0.008313441649079323,0.010513562709093094,0.01496721152216196,0.0205487459897995,0.0004648091271519661,0.0010186193976551294,0.43927115201950073,0.026678534224629402,0.0061487252824008465,0.005459734704345465,0.01269265916198492,0.00456996588036418,0.009713713079690933,0.0002540617133490741,0.0006703019607812166,0.37696143984794617
3,0.0010000000474974513,25.154244234001453,168.6477183980005,0.018366627395153046,0.004925266839563847,0.002644149586558342,0.003647475503385067,0.014172821305692196,0.014616621658205986,0.00022403999173548073,0.0004091863811481744,0.3140677809715271,0.02286769077181816,0.0037785563617944717,0.004700436722487211,0.012603470124304295,0.0034922694321721792,0.006641224026679993,0.00017035912605933845,0.00022057902242522687,0.33543217182159424
4,0.0010000000474974513,25.057787444000496,193.70553308499984,0.010737547650933266,0.003270245622843504,0.0015893004601821303,0.0034839236177504063,0.004714326933026314,0.005229550879448652,0.00015311833703890443,0.00021601561456918716,0.23152221739292145,0.008136424235999584,0.0026774597354233265,0.0008216921705752611,0.0026752445846796036,0.003871927037835121,0.005506024230271578,9.764414426172152e-05,0.00016298326954711229,0.21901960670948029
5,0.0010000000474974513,42.020783776000826,235.72633447000044,0.005084753502160311,0.0023321884218603373,0.0007066997932270169,0.0009984859498217702,0.002047944348305464,0.002652473049238324,9.272619354305789e-05,0.00014133250806480646,0.1639527678489685,0.00492412643507123,0.00201547984033823,0.0008834947366267443,0.0012168560642749071,0.0015788604505360126,0.002477231901139021,8.63488094182685e-05,0.00010231071064481512,0.1666918396949768
6,0.0010000000474974513,25.36884000399914,261.09526912,0.008307619951665401,0.0023836647160351276,0.0011838796781376004,0.0024742879904806614,0.004488925915211439,0.005011329893022776,9.07597059267573e-05,0.00012247261474840343,0.20904257893562317,0.0074185561388731,0.002108507789671421,0.0009154414874501526,0.0019172020256519318,0.004922619555145502,0.006942084524780512,6.771555490558967e-05,9.32367256609723e-05,0.21797706186771393
7,0.0010000000474974513,25.392124752999734,286.48740903399994,0.004342977423220873,0.0018242048099637032,0.0005972016952000558,0.0007379501475952566,0.0023385253734886646,0.0026554709766060114,5.744105146732181e-05,8.615426486358047e-05,0.151519313454628,0.006124220322817564,0.0016652081394568086,0.0009454662213101983,0.0031729391776025295,0.0006552233826369047,0.0015505650080740452,4.290919241611846e-05,8.704141509952024e-05,0.17093481123447418
8,0.0010000000474974513,25.500239539000177,311.9876690860001,0.0037258171942085028,0.001748923328705132,0.0005646569770760834,0.0006092633120715618,0.0015833366196602583,0.0019985148683190346,4.530198930297047e-05,6.775355723220855e-05,0.13897372782230377,0.004717336967587471,0.0013061084318906069,0.001133920275606215,0.0019031298579648137,0.0007317273411899805,0.002635109471157193,3.911671228706837e-05,4.403344792081043e-05,0.16844457387924194
9,0.0010000000474974513,25.313778265999645,337.3014605240005,0.003862221958115697,0.0015285402769222856,0.0005371078150346875,0.000821922963950783,0.0019312262302264571,0.002067428082227707,3.837485201074742e-05,5.2006984333274886e-05,0.14036108553409576,0.0099473362788558,0.0015238283667713404,0.0019189390586689115,0.003209688700735569,0.006568055599927902,0.004234999418258667,4.296067345421761e-05,6.555512663908303e-05,0.22202199697494507
10,0.0005000000237487257,25.183056584999576,362.4845338030009,0.002245407784357667,0.001284784055314958,0.00027799414237961173,0.00028669318999163806,0.0007780663436278701,0.0009332261979579926,2.804080577334389e-05,4.098863428225741e-05,0.09811441600322723,0.0016175865894183517,0.0011615259572863579,0.00018138729501515627,0.0001336995483143255,0.0002700241166166961,0.00032320263562723994,2.6091469408129342e-05,3.352926069055684e-05,0.07781179249286652
11,0.0005000000237487257,25.455114089001654,387.93971580200014,0.0016164389671757817,0.0011785367969423532,0.0001602024130988866,0.00015732040628790855,0.0002291642304044217,0.0003864865575451404,2.4307249987032264e-05,3.366598321008496e-05,0.08004004508256912,0.0015769862802699208,0.0011987130856141448,0.00019247496675234288,6.348241004161537e-05,0.00023201771546155214,0.00032707792706787586,2.5231285690097138e-05,3.7839756259927526e-05,0.07526241987943649
12,0.0005000000237487257,25.311032364999846,413.25076996700045,0.0015296635683625937,0.0011693409178406,0.00015750517195556313,0.00011344398808432743,0.00016785306797828525,0.0003255127230659127,2.2620606614509597e-05,3.185327659593895e-05,0.07580797374248505,0.0013105229008942842,0.0010231730993837118,0.0001135608836193569,7.320611621253192e-05,0.0001912495499709621,0.00031501706689596176,2.1501999071915634e-05,2.8076954549760558e-05,0.06879153102636337
13,0.0005000000237487257,25.158023768999556,438.4088088240005,0.00146295630838722,0.0011392044834792614,0.00014535582158714533,9.065581252798438e-05,0.00016540719661861658,0.000321253202855587,2.092687827826012e-05,2.943598519777879e-05,0.07373254746198654,0.0018168832175433636,0.0011537257814779878,0.0003911825770046562,0.00011057909432565793,0.00031333055812865496,0.0005318655166774988,2.2474321667687036e-05,2.4830491383909248e-05,0.08852692693471909
14,0.0005000000237487257,25.38986993600156,463.7986944830009,0.001523682614788413,0.0011914914939552546,0.00015950747183524072,9.639605559641495e-05,0.00014276010915637016,0.0002955309464596212,2.101115751429461e-05,2.806814700306859e-05,0.07443106919527054,0.0014448331203311682,0.001015730551443994,0.0002018153463723138,9.702858369564638e-05,0.00025101221399381757,0.00022785860346630216,1.955484549398534e-05,2.7973914257017896e-05,0.07135318964719772
15,0.0005000000237487257,25.15115814099954,488.9498667280004,0.0018089943332597613,0.001123278634622693,0.00023591463104821742,0.0003017923445440829,0.0002863375993911177,0.0004829746612813324,1.998912739509251e-05,2.8410468075890094e-05,0.08674231916666031,0.0015124661149457097,0.0010964616667479277,0.000176007320987992,0.00012498516298364848,0.00022083798830863088,0.0005332747241482139,2.152355227735825e-05,2.440377647872083e-05,0.08105915039777756
16,0.0005000000237487257,25.194540616999802,514.1444603780001,0.0015515676932409406,0.0011077544186264277,0.00017285933427046984,0.00012136151781305671,0.00029074729536660016,0.0004372175899334252,1.7684626072878018e-05,2.450039937684778e-05,0.07884825021028519,0.0017890462186187506,0.0010553624015301466,0.00013351089728530496,0.00018684846872929484,0.0008175878319889307,0.0009851587237790227,1.83834636118263e-05,2.6921565222437494e-05,0.09303046017885208
17,0.0002500000118743628,24.90755134199935,539.0520251369999,0.0012799511896446347,0.001030159299261868,0.0001093073733500205,7.689371705055237e-05,0.00011988144979113713,0.0002191026578657329,1.556984534545336e-05,2.093237344524823e-05,0.06511874496936798,0.0011557210236787796,0.0009459349676035345,9.909029904520139e-05,7.217218808364123e-05,6.990087422309443e-05,0.0001947948767337948,1.5735791748738848e-05,1.9993776732007973e-05,0.061414849013090134
18,0.0002500000118743628,24.876790485999663,563.9288391190003,0.0011874986812472343,0.0009905336191877723,9.648208651924506e-05,5.6058892369037494e-05,8.181769226212054e-05,0.00017846928676590323,1.398298809363041e-05,2.117227813869249e-05,0.061602648347616196,0.0011479954700917006,0.0009275007760152221,9.13288167794235e-05,6.610812124563381e-05,0.00011935547081520781,0.0002342048828722909,1.5398103641928174e-05,1.8403627109364606e-05,0.06215972453355789
19,0.0002500000118743628,24.97141616099907,588.9002680539998,0.0012028731871396303,0.0009985980577766895,0.00010105292312800884,5.7309578551212326e-05,8.500765397911891e-05,0.00019131827866658568,1.3874037904315628e-05,2.0214818505337462e-05,0.06260490417480469,0.001106014009565115,0.0008877527434378862,9.243809472536668e-05,5.701260670321062e-05,0.0001305433688685298,0.00024108188517857343,1.5121675460250117e-05,2.0266026695026085e-05,0.061337102204561234
20,0.0002500000118743628,24.947805202999007,613.8480915439995,0.0011719308095052838,0.000977751100435853,0.00010155382187804207,5.0594069762155414e-05,7.740786531940103e-05,0.00017853107419796288,1.3641085388371721e-05,1.9638213416328654e-05,0.06143692135810852,0.0011299600591883063,0.0009210307034663856,0.00011464959243312478,4.521212395047769e-05,9.168053657049313e-05,0.00013073788431938738,1.334612625214504e-05,1.892644286272116e-05,0.05761926993727684
21,0.0002500000118743628,25.05284850299904,638.9009965299992,0.0011722490889951587,0.000975979317445308,0.00010232761997031048,5.505855006049387e-05,7.127603748813272e-05,0.00016688762116245925,1.2911471458210144e-05,1.9543576854630373e-05,0.06087839603424072,0.0010742591693997383,0.0008536860113963485,0.00013812127872370183,5.637746653519571e-05,4.62974639958702e-05,0.00021344920969568193,1.29523341456661e-05,1.6306765246554278e-05,0.060552600771188736
