epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.4554307758808136,0.178595632314682,0.10827106237411499,1.735565185546875,0.005891421809792519,0.004049782454967499,0.010508054867386818,0.016350364312529564,0.017408879473805428,0.02186560444533825,8.71278694830835e-05,0.00014269469538703562
2,0.008672144263982773,0.008313441649079323,0.010513562709093094,0.00748360576108098,4.648091271519661e-05,0.00010186193976551295,0.0061487252824008465,0.005459734704345465,0.01269265916198492,0.00228498294018209,2.5406171334907413e-05,6.703019607812166e-05
3,0.004925266839563847,0.002644149586558342,0.003647475503385067,0.007086410652846098,2.2403999173548074e-05,4.0918638114817446e-05,0.0037785563617944717,0.004700436722487211,0.012603470124304295,0.0017461347160860896,1.7035912605933845e-05,2.2057902242522687e-05
4,0.003270245622843504,0.0015893004601821303,0.0034839236177504063,0.002357163466513157,1.5311833703890442e-05,2.1601561456918716e-05,0.0026774597354233265,0.0008216921705752611,0.0026752445846796036,0.0019359635189175606,9.764414426172153e-06,1.629832695471123e-05
5,0.0023321884218603373,0.0007066997932270169,0.0009984859498217702,0.001023972174152732,9.27261935430579e-06,1.4133250806480647e-05,0.00201547984033823,0.0008834947366267443,0.0012168560642749071,0.0007894302252680063,8.63488094182685e-06,1.0231071064481513e-05
6,0.0023836647160351276,0.0011838796781376004,0.0024742879904806614,0.0022444629576057196,9.075970592675732e-06,1.2247261474840343e-05,0.002108507789671421,0.0009154414874501526,0.0019172020256519318,0.002461309777572751,6.771555490558967e-06,9.32367256609723e-06
7,0.0018242048099637032,0.0005972016952000558,0.0007379501475952566,0.0011692626867443323,5.744105146732182e-06,8.615426486358046e-06,0.0016652081394568086,0.0009454662213101983,0.0031729391776025295,0.00032761169131845236,4.290919241611846e-06,8.704141509952024e-06
8,0.001748923328705132,0.0005646569770760834,0.0006092633120715618,0.0007916683098301291,4.530198930297047e-06,6.775355723220855e-06,0.0013061084318906069,0.001133920275606215,0.0019031298579648137,0.00036586367059499025,3.911671228706837e-06,4.403344792081043e-06
9,0.0015285402769222856,0.0005371078150346875,0.000821922963950783,0.0009656131151132286,3.837485201074742e-06,5.200698433327489e-06,0.0015238283667713404,0.0019189390586689115,0.003209688700735569,0.003284027799963951,4.296067345421761e-06,6.555512663908303e-06
10,0.001284784055314958,0.00027799414237961173,0.00028669318999163806,0.00038903317181393504,2.8040805773343893e-06,4.098863428225741e-06,0.0011615259572863579,0.00018138729501515627,0.0001336995483143255,0.00013501205830834806,2.6091469408129345e-06,3.352926069055684e-06
11,0.0011785367969423532,0.0001602024130988866,0.00015732040628790855,0.00011458211520221084,2.4307249987032268e-06,3.366598321008496e-06,0.0011987130856141448,0.00019247496675234288,6.348241004161537e-05,0.00011600885773077607,2.523128569009714e-06,3.7839756259927528e-06
12,0.0011693409178406,0.00015750517195556313,0.00011344398808432743,8.392653398914263e-05,2.2620606614509597e-06,3.1853276595938953e-06,0.0010231730993837118,0.0001135608836193569,7.320611621253192e-05,9.562477498548105e-05,2.1501999071915637e-06,2.807695454976056e-06
13,0.0011392044834792614,0.00014535582158714533,9.065581252798438e-05,8.270359830930829e-05,2.092687827826012e-06,2.9435985197778794e-06,0.0011537257814779878,0.0003911825770046562,0.00011057909432565793,0.00015666527906432748,2.247432166768704e-06,2.483049138390925e-06
14,0.0011914914939552546,0.00015950747183524072,9.639605559641495e-05,7.138005457818508e-05,2.101115751429461e-06,2.806814700306859e-06,0.001015730551443994,0.0002018153463723138,9.702858369564638e-05,0.00012550610699690878,1.955484549398534e-06,2.79739142570179e-06
15,0.001123278634622693,0.00023591463104821742,0.0003017923445440829,0.00014316879969555885,1.9989127395092512e-06,2.8410468075890094e-06,0.0010964616667479277,0.000176007320987992,0.00012498516298364848,0.00011041899415431544,2.152355227735825e-06,2.440377647872083e-06
16,0.0011077544186264277,0.00017285933427046984,0.00012136151781305671,0.00014537364768330008,1.768462607287802e-06,2.4500399376847785e-06,0.0010553624015301466,0.00013351089728530496,0.00018684846872929484,0.00040879391599446535,1.8383463611826302e-06,2.6921565222437497e-06
