epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.82420414686203,0.15191370248794556,0.11118993163108826,2.726065158843994,0.0060918815433979034,0.012255913019180298,0.02416679635643959,0.027040133252739906,0.024447200819849968,0.04493061453104019,6.785396253690123e-05,0.0002460095100104809
2,0.019623879343271255,0.014224153943359852,0.02059129998087883,0.033778704702854156,3.791004128288478e-05,0.0001882722368463874,0.01136878039687872,0.00857619009912014,0.018095657229423523,0.0036022670101374388,1.7437410133425146e-05,0.00012251725420355796
3,0.008802060037851334,0.004269690252840519,0.00473348144441843,0.01847725361585617,1.8168472161050888e-05,5.146532785147429e-05,0.007544789928942919,0.007833109237253666,0.004717124626040459,0.035296130925416946,1.2322324619162829e-05,3.486145578790456e-05
4,0.006245122291147709,0.0023527638986706734,0.003981491085141897,0.00986435916274786,1.1839836224680768e-05,3.266203857492656e-05,0.003795783268287778,0.000990132219158113,0.0012264405377209187,0.0023350315168499947,6.61683370708488e-06,1.7288974777329714e-05
5,0.0036644807551056147,0.0009865467436611652,0.0018136304570361972,0.001881395815871656,7.0608293754048645e-06,1.880835770862177e-05,0.003245457774028182,0.0010439243633300066,0.0008410466252826154,0.0014028047444298863,6.52565504424274e-06,1.630299520911649e-05
6,0.0035817469470202923,0.00121682311873883,0.0013822718756273389,0.0041683693416416645,6.633723387494683e-06,1.9968197739217432e-05,0.004133373033255339,0.003571250708773732,0.004570523276925087,0.016189785674214363,8.499214163748548e-06,2.2272997011896226e-05
7,0.0035291239619255066,0.001644959906116128,0.0019253838108852506,0.002114773727953434,6.740669050486758e-06,1.1411646119086073e-05,0.0037385430186986923,0.003636731533333659,0.011024777777493,0.008349183015525341,4.94423475174699e-06,1.0043136717285962e-05
8,0.005265320185571909,0.0036976332776248455,0.004090387839823961,0.011191407218575478,8.763978985371069e-06,3.276154166087508e-05,0.0031238538213074207,0.0013745318865403533,0.0015526340575888753,0.0009757009102031589,2.7928286726819352e-06,6.847755867056549e-06
9,0.002689509652554989,0.00042973857489414513,0.0005374750471673906,0.0005868352018296719,2.5266408556490205e-06,5.390026490204037e-06,0.0021279456559568644,0.0003928451333194971,0.0005580159486271441,0.0004338757717050612,1.8308122889720836e-06,3.784311775234528e-06
10,0.0026983898133039474,0.0005164303001947701,0.0008266092045232654,0.00096518499776721,2.6377774702268653e-06,5.314498412190006e-06,0.003297582035884261,0.0012515212874859571,0.008720595389604568,0.005598167888820171,2.6223848180961796e-06,1.4253011613618582e-05
