epoch,train_weighted_temperature,train_weighted_logF,train_weighted_retention,train_weighted_physics,train_weighted_initial,train_weighted_continuity,validation_weighted_temperature,validation_weighted_logF,validation_weighted_retention,validation_weighted_physics,validation_weighted_initial,validation_weighted_continuity
1,0.6140861511230469,0.2155827134847641,0.1306825578212738,2.5006871223449707,0.011271415650844574,0.004423750936985016,0.03441999480128288,0.036132678389549255,0.030218249186873436,0.008234884589910507,0.00023634894751012325,0.00034077125601470474
2,0.04134472459554672,0.028582535684108734,0.03188119828701019,0.024111228063702583,0.0003384268842637539,0.0003084615804255009,0.012431055307388306,0.01255272887647152,0.009768751449882984,0.010280120186507702,4.924165550619364e-05,5.414827610366047e-05
3,0.0138296689838171,0.013700566254556179,0.01733693853020668,0.00840470939874649,0.0001619859365746379,9.871713118627668e-05,0.0065807620994746685,0.00748504837974906,0.00715990737080574,0.01297424454241991,2.548577031120658e-05,3.810273774433881e-05
4,0.008506272919476032,0.011042238213121891,0.014958427287638187,0.006740574259310961,0.00011968285543844104,7.502033258788288e-05,0.0038360939361155033,0.006739935837686062,0.004846852272748947,0.0017469407757744193,1.3288884656503798e-05,1.5119461750146002e-05
5,0.006505605299025774,0.009845300577580929,0.0114717623218894,0.004567040596157312,9.33167350012809e-05,5.835123592987657e-05,0.0028417375870049,0.00285587040707469,0.002252843463793397,0.0019494954030960798,1.1106489546364174e-05,2.6612204965204e-05
6,0.0055615780875086784,0.007900801487267017,0.00940803810954094,0.00413008825853467,7.931208820082248e-05,5.411402089521289e-05,0.0023111857008188963,0.00405246764421463,0.00337415118701756,0.0019344965694472194,5.763339868281037e-06,1.7934644711203875e-05
7,0.00576410535722971,0.00897228717803955,0.012560460716485977,0.003874140325933695,6.641392828896642e-05,5.145180621184409e-05,0.0025356337428092957,0.0019341695588082075,0.0048329089768230915,0.004382244776934385,7.103869575075805e-06,3.0075627728365364e-05
8,0.005127306561917067,0.007239164784550667,0.010251540690660477,0.005847661755979061,5.5773806525394325e-05,4.9336068332195286e-05,0.0034329083282500505,0.0029371839482337236,0.005595431197434664,0.0005850500892847776,1.2698612408712506e-05,9.385229350300506e-06
9,0.004407037515193224,0.006625330541282892,0.009247246198356152,0.0033336274791508913,5.103059229440987e-05,4.37633105320856e-05,0.0018810620531439781,0.003156665014103055,0.00403265655040741,0.001056404085829854,8.840552618494258e-06,8.931188494898379e-06
10,0.004400164354592562,0.006894816178828478,0.00842487532645464,0.005835452117025852,4.4628148316405714e-05,4.724736500065774e-05,0.0020581348799169064,0.006131263449788094,0.013060174882411957,0.006207721773535013,4.752635868499056e-06,6.6385597165208315e-06
11,0.004154576919972897,0.006669888738542795,0.008781028911471367,0.004069446586072445,3.838482953142375e-05,3.9619641029275954e-05,0.0022915482986718416,0.0017522296402603388,0.001398209948092699,0.0007704155868850648,4.397803422762081e-06,8.014715422177688e-06
12,0.003751203650608659,0.0060906377620995045,0.007682465482503176,0.0038048417773097754,3.763292625080794e-05,3.613800508901477e-05,0.002017833525314927,0.0017896704375743866,0.0018919339636340737,0.009396896697580814,3.6420853575691582e-06,4.108975408598781e-05
13,0.0037025802303105593,0.005595895927399397,0.007826942950487137,0.0030764094553887844,3.456211998127401e-05,3.386512398719788e-05,0.001913717482239008,0.002903978805989027,0.004715108312666416,0.006465556565672159,9.418517583981158e-06,1.302907767239958e-05
14,0.0037019846495240927,0.005831724964082241,0.007413710933178663,0.0037354787345975637,3.09433089569211e-05,3.269507142249495e-05,0.0017489026067778468,0.002498965011909604,0.003221222199499607,0.0003474409459158778,4.838144741370343e-06,4.313273893785663e-06
15,0.003647405421361327,0.005937845911830664,0.007418477907776833,0.003379767294973135,2.8723239665850997e-05,2.9501545941457153e-05,0.0014436725759878755,0.0022788592614233494,0.0022040624171495438,0.002414847956970334,2.9063974579912613e-06,7.308672647923232e-05
16,0.002918443875387311,0.004526108969002962,0.005155270453542471,0.0023308577947318554,2.5368036585859957e-05,2.4978877627290787e-05,0.0011845484841614962,0.0012874610256403685,0.000882418011315167,0.0002171519008697942,2.3750448235659863e-06,4.252636426826939e-06
17,0.0029571582563221455,0.004496206995099783,0.005809310358017683,0.002100658603012562,2.3637499543838204e-05,2.1109812951181085e-05,0.0015162553172558546,0.000883351662196219,0.0011011986061930656,0.00011253792035859078,3.431474033277482e-06,1.7178108464577235e-06
18,0.002801224822178483,0.004202751442790031,0.00510365841910243,0.0021449769847095013,2.3018787032924592e-05,1.8913607345893982e-05,0.0011153063969686627,0.0011650918750092387,0.0005299251643009484,0.0008233333937823772,3.481984094833024e-06,2.641764149302617e-06
19,0.0028392814565449953,0.004647030029445887,0.0065018050372600555,0.00216801930218935,2.1701147488784045e-05,1.921086513902992e-05,0.0014455654891207814,0.0020579653792083263,0.0016337767010554671,0.0038056205958127975,2.2360300135915168e-06,5.27633928868454e-06
20,0.0028868981171399355,0.004254359286278486,0.005137648433446884,0.0021116873249411583,2.1595973521471024e-05,1.8828007159754635e-05,0.0012220459757372737,0.0007318179123103619,0.0007474651210941374,0.0005788055132143199,1.6075038729468362e-06,2.145407961506862e-06
21,0.002732260152697563,0.004301614593714476,0.004794129636138678,0.0020234808325767517,2.112124930135906e-05,1.799701276468113e-05,0.0010609215823933482,0.0011515632504597306,0.0015229274285957217,0.0011863956460729241,2.0487326764850876e-06,8.523280848748982e-06
22,0.002785239601507783,0.004254483617842197,0.005320447962731123,0.001990665215998888,2.0246490021236244e-05,1.7061187827493997e-05,0.0011319576296955347,0.0007215464720502496,0.0012237922055646777,0.0009395466768182814,3.802017090492882e-06,2.1466556063387546e-06
23,0.0027767852880060673,0.004474113695323467,0.005108787212520838,0.0020288401283323765,1.8913115491159262e-05,1.664834126131609e-05,0.0012670691357925534,0.0010143490508198738,0.0006030797958374023,0.0021179458126425743,3.0490436984109692e-06,5.1694925787160175e-06
24,0.0027695470489561558,0.004295571707189083,0.005253334064036608,0.0020370101556181908,1.8679953063838185e-05,1.6310528735630214e-05,0.0016478991601616144,0.0017795744352042675,0.0036451006308197975,0.00015345113934017718,4.941414954373613e-06,2.446307189529762e-06
25,0.002455452922731638,0.0038295963313430548,0.004878693260252476,0.0015900726430118084,1.7839587235357614e-05,1.4637679851148279e-05,0.0009513463592156768,0.0007826784858480096,0.000591179181355983,0.00019694046932272613,9.428156772628427e-07,5.602395322057419e-06
26,0.002411432331427932,0.003832124639302492,0.004786580801010132,0.0018054500687867403,1.7406242841389032e-05,1.4456146163865925e-05,0.0010210385080426931,0.000693085661623627,0.00038028822746127844,0.00015388117753900588,9.157757631328423e-07,1.5918893041089178e-06
27,0.0024179075844585896,0.0037930102553218603,0.004580850712954998,0.001513899303972721,1.7071406182367356e-05,1.4746682427357883e-05,0.001148633542470634,0.00046281289542093873,0.0007101246737875044,0.0010713255032896996,1.7138911061920227e-06,1.531972156953998e-06
28,0.002388652879744768,0.003582723904401064,0.004158630967140198,0.0016167850699275732,1.6686430899426342e-05,1.3711053179576993e-05,0.0010670163901522756,0.0005531138158403337,0.000422847195295617,0.00048057871754281223,1.4292108062363697e-06,1.2720172890112736e-06
29,0.002425579586997628,0.0035554603673517704,0.004054655786603689,0.0016491255955770612,1.6326176410075278e-05,1.3576629862654955e-05,0.0014195635449141264,0.0010360487503930926,0.0004170987522229552,0.00037211409653536975,1.1776623978221323e-06,3.831222056760453e-06
30,0.0022978901397436857,0.003424349008128047,0.004097175318747759,0.0016024624928832054,1.5465711476281287e-05,1.3347032654564829e-05,0.000980699434876442,0.0005097014945931733,0.0005225642235018313,0.0011389724677428603,1.2506262464739849e-06,1.090860223484924e-06
31,0.0022706391755491495,0.003576338291168213,0.004125552251935005,0.0014646588824689388,1.5770540630910546e-05,1.3216646038927138e-05,0.0010320169385522604,0.0003096167929470539,0.0002116782998200506,0.00013476218737196177,1.3469482837535907e-06,1.3655911971000024e-06
32,0.0022102545481175184,0.0033275182358920574,0.004096130840480328,0.0014258449664339423,1.4429978909902276e-05,1.2184614024590702e-05,0.0009620398050174117,0.0003693404432851821,0.0008372373413294554,0.00048562383744865656,8.383111889997963e-07,1.1028109838662203e-06
33,0.0022413665428757668,0.003406885778531432,0.003958947025239468,0.0013991983141750097,1.4955012011341752e-05,1.226064341608435e-05,0.0011682299664244056,0.00048048130702227354,0.0002791571896523237,0.00012441337457858026,1.1688951417454519e-06,1.3089931599097328e-06
34,0.002215384738519788,0.0033808299340307713,0.0037960202898830175,0.0013649800093844533,1.4630785153713078e-05,1.1671773972921074e-05,0.0010506085818633437,0.0003577251627575606,0.00024024461163207889,0.0006333051132969558,7.572709364467301e-07,1.2292814062675463e-06
35,0.0022410668898373842,0.003382497001439333,0.003794602118432522,0.001392117002978921,1.41505355713889e-05,1.1844886466860772e-05,0.0010842178016901016,0.0004232234205119312,0.0003128667885903269,0.0006503760232590139,1.0416764780529776e-06,9.614826012693812e-07
36,0.002168677281588316,0.003386327065527439,0.004144822247326374,0.0013841114705428481,1.3743029558099807e-05,1.2097247235942632e-05,0.0009096176945604384,0.00026434159372001886,0.00023373926524072886,0.0006044679903425276,6.888044936204097e-07,1.3251613381726202e-06
37,0.0021643012296408415,0.003335234010592103,0.003819291014224291,0.0013580400263890624,1.3865395158063621e-05,1.1577226541703568e-05,0.0009312303154729307,0.00021314647165127099,0.0001775434793671593,0.000259811757132411,7.985297997947783e-07,1.440064261259977e-06
38,0.00217821984551847,0.003235166659578681,0.003626934252679348,0.0013385468628257513,1.408899115631357e-05,1.1866193381138147e-05,0.0009143247734755278,0.00024256434699054807,0.0002944513107649982,0.0004228163743391633,1.0493856279936153e-06,1.0958530765492469e-06
39,0.002106190426275134,0.0032944227568805218,0.003716785693541169,0.0013742003357037902,1.3902672799304128e-05,1.1767969408538194e-05,0.0009479341679252684,0.00034270648029632866,0.0002763047523330897,0.0005257854354567826,7.098874903022079e-07,1.3571042472904084e-06
