retort_temperature_C,CUT_min,cooling_time_min,heating_time_min,total_process_time_min,direct_F_min,trajectory_derived_F_min,conservative_F_min,retention_index,retention_percent,F0_target_min,design_margin_min,design_threshold_min,monotonicity_violations_on_grid,within_training_domain,requires_CFD_verification
120.0,3.0,3.0,10.745999336242676,16.745999336242676,3.3000006675720215,3.3105225563049316,3.3000006675720215,0.9805977940559387,98.05977940559387,3.0,0.3,3.3,0,True,True
121.0,3.0,3.0,9.556636810302734,15.556636810302734,3.3000051975250244,3.3015589714050293,3.3000051975250244,0.9810448884963989,98.10448884963989,3.0,0.3,3.3,0,True,True
122.0,3.0,3.0,8.553853034973145,14.553853034973145,3.3063066005706787,3.300373077392578,3.300373077392578,0.9813660383224487,98.13660383224487,3.0,0.3,3.3,0,True,True
123.0,3.0,3.0,7.63802433013916,13.63802433013916,3.3000261783599854,3.3048150539398193,3.3000261783599854,0.9816609621047974,98.16609621047974,3.0,0.3,3.3,0,True,True
124.0,3.0,3.0,6.914717674255371,12.914717674255371,3.3000006675720215,3.3013510704040527,3.3000006675720215,0.9817574620246887,98.17574620246887,3.0,0.3,3.3,0,True,True
125.0,3.0,3.0,6.299047470092773,12.299047470092773,3.308220386505127,3.3000478744506836,3.3000478744506836,0.9817221760749817,98.17221760749817,3.0,0.3,3.3,0,True,True
126.0,3.0,3.0,5.7623395919799805,11.76233959197998,3.3087425231933594,3.3000001907348633,3.3000001907348633,0.9816175103187561,98.16175103187561,3.0,0.3,3.3,0,True,True
127.0,3.0,3.0,5.29358434677124,11.29358434677124,3.3057196140289307,3.3000106811523438,3.3000106811523438,0.9814556241035461,98.14556241035461,3.0,0.3,3.3,0,True,True
128.0,3.0,3.0,5.0,11.0,3.5750954151153564,3.5697731971740723,3.5697731971740723,0.9805508852005005,98.05508852005005,3.0,0.3,3.3,0,True,True
129.0,3.0,3.0,5.0,11.0,4.627612590789795,4.632385730743408,4.627612590789795,0.9778127670288086,97.78127670288086,3.0,0.3,3.3,0,True,True
130.0,3.0,3.0,5.0,11.0,5.987358093261719,5.998046875,5.987358093261719,0.9747065305709839,97.47065305709839,3.0,0.3,3.3,0,True,True
131.0,3.0,3.0,5.0,11.0,7.7409515380859375,7.76313591003418,7.7409515380859375,0.9711917042732239,97.11917042732239,3.0,0.3,3.3,0,True,True
132.0,3.0,3.0,5.0,11.0,9.996129035949707,10.016636848449707,9.996129035949707,0.9672194123268127,96.72194123268127,3.0,0.3,3.3,0,True,True
133.0,3.0,3.0,5.0,11.0,12.8953275680542,12.902458190917969,12.8953275680542,0.9627271890640259,96.27271890640259,3.0,0.3,3.3,0,True,True
134.0,3.0,3.0,5.0,11.0,16.628807067871094,16.633649826049805,16.628807067871094,0.9576365351676941,95.76365351676941,3.0,0.3,3.3,0,True,True
135.0,3.0,3.0,5.0,11.0,21.437536239624023,21.41051483154297,21.41051483154297,0.9518651962280273,95.18651962280273,3.0,0.3,3.3,0,True,True
136.0,3.0,3.0,5.0,11.0,27.637393951416016,27.56604766845703,27.56604766845703,0.9453245997428894,94.53245997428894,3.0,0.3,3.3,0,True,True
137.0,3.0,3.0,5.0,11.0,35.64461898803711,35.58803176879883,35.58803176879883,0.9379227757453918,93.79227757453918,3.0,0.3,3.3,0,True,True
138.0,3.0,3.0,5.0,11.0,45.97902297973633,45.91550827026367,45.91550827026367,0.9295833110809326,92.95833110809326,3.0,0.3,3.3,0,True,True
139.0,3.0,3.0,5.0,11.0,59.33811950683594,59.363502502441406,59.33811950683594,0.92023104429245,92.023104429245,3.0,0.3,3.3,0,True,True
140.0,3.0,3.0,5.0,11.0,76.63363647460938,76.59697723388672,76.59697723388672,0.9097933769226074,90.97933769226074,3.0,0.3,3.3,0,True,True
