protocol,protocol_label,seed,distance_quartile,cases,nearest_distance_min,nearest_distance_mean,nearest_distance_median,nearest_distance_max,temperature_RMSE_C_mean,direct_absolute_logF_error_mean,trajectory_absolute_logF_error_mean,direct_absolute_F_error_mean_min,trajectory_absolute_F_error_mean_min,retention_absolute_error_mean,false_safe_rate,false_unsafe_rate
random_interpolation,Random interpolation,17,4,395,0.0815154321519713,0.09348142771114537,0.09127392162743267,0.13637475337927213,0.6512814,0.0041737314,0.004416721,0.9300911,1.1277074,0.00027396544,0.0,0.0
random_interpolation,Random interpolation,17,2,395,0.05414005957828,0.061710514580873135,0.06201404695996443,0.0681996303670825,0.5533983,0.0042257463,0.004490589,0.72767544,0.89448166,0.00024758352,0.0,0.0
random_interpolation,Random interpolation,17,1,394,0.004331321954456725,0.04302729969367017,0.04551773086615759,0.054119508232665786,0.6762649,0.0040878076,0.004471715,0.8960748,1.0562911,0.0002533494,0.0,0.005076142131979695
random_interpolation,Random interpolation,17,3,395,0.06820364224770101,0.07414075036189438,0.07364478137952085,0.08143586814130181,0.5915642,0.004163425,0.0044579315,0.7524573,0.9198848,0.00023665489,0.0,0.007594936708860759
random_interpolation,Random interpolation,42,4,395,0.0815154321519713,0.09348142771114537,0.09127392162743267,0.13637475337927213,0.55637646,0.0039446154,0.004080835,0.87931335,1.0090991,0.0002583045,0.0,0.0
random_interpolation,Random interpolation,42,2,395,0.05414005957828,0.061710514580873135,0.06201404695996443,0.0681996303670825,0.44840765,0.004208879,0.0042986833,0.7829408,0.8554285,0.0002570448,0.0,0.0
random_interpolation,Random interpolation,42,1,394,0.004331321954456725,0.04302729969367017,0.04551773086615759,0.054119508232665786,0.5942005,0.003898089,0.0040469803,0.8647953,0.9158431,0.0002655915,0.0,0.0025380710659898475
random_interpolation,Random interpolation,42,3,395,0.06820364224770101,0.07414075036189438,0.07364478137952085,0.08143586814130181,0.48747575,0.004028644,0.004220395,0.7509779,0.7804938,0.00023802549,0.0,0.005063291139240506
retort_temperature_band,Withheld temperature band,17,2,547,0.08794238156289419,0.09801414409658013,0.09808462717675652,0.10747803556622158,0.7298875,0.004866168,0.00541879,0.5084537,0.6360718,0.00032286637,0.0,0.0
retort_temperature_band,Withheld temperature band,17,3,547,0.10747842666251645,0.11692985818981139,0.11697430353281073,0.12637264689667974,0.6911093,0.005155337,0.0056900904,0.54997385,0.66972256,0.0003577814,0.0,0.0
retort_temperature_band,Withheld temperature band,17,1,547,0.023837892293850815,0.07110561383966765,0.07399736402903183,0.08783688370026102,0.6574052,0.0044262437,0.00537303,0.4672346,0.61775553,0.00029283087,0.0,0.0
retort_temperature_band,Withheld temperature band,17,4,548,0.12640956636232067,0.1401033968453004,0.1374076783152819,0.18950912044472087,0.7522492,0.005345628,0.0060577164,0.54590636,0.6590553,0.0003799433,0.0,0.0
retort_temperature_band,Withheld temperature band,42,2,547,0.08794238156289419,0.09801414409658013,0.09808462717675652,0.10747803556622158,0.72208714,0.0040465514,0.0044352566,0.4149551,0.46903536,0.00032930062,0.0,0.0
retort_temperature_band,Withheld temperature band,42,3,547,0.10747842666251645,0.11692985818981139,0.11697430353281073,0.12637264689667974,0.6839151,0.004404788,0.004864398,0.4476708,0.5189076,0.00034427588,0.0,0.0
