protocol,protocol_label,distance_quartile,cases_mean,cases_std,nearest_distance_min_mean,nearest_distance_min_std,nearest_distance_mean_mean,nearest_distance_mean_std,nearest_distance_median_mean,nearest_distance_median_std,nearest_distance_max_mean,nearest_distance_max_std,temperature_RMSE_C_mean_mean,temperature_RMSE_C_mean_std,direct_absolute_logF_error_mean_mean,direct_absolute_logF_error_mean_std,trajectory_absolute_logF_error_mean_mean,trajectory_absolute_logF_error_mean_std,direct_absolute_F_error_mean_min_mean,direct_absolute_F_error_mean_min_std,trajectory_absolute_F_error_mean_min_mean,trajectory_absolute_F_error_mean_min_std,retention_absolute_error_mean_mean,retention_absolute_error_mean_std,false_safe_rate_mean,false_safe_rate_std,false_unsafe_rate_mean,false_unsafe_rate_std
random_interpolation,Random interpolation,4,395.0,0.0,0.0815154321519713,0.0,0.09348142771114537,0.0,0.09127392162743267,0.0,0.13637475337927213,0.0,0.6038289,0.06710794,0.004059173,0.00016200953,0.004248778,0.00023750737,0.9047022,0.03590528,1.0684032,0.08386869,0.00026613497,1.1073961e-05,0.0,0.0,0.0,0.0
random_interpolation,Random interpolation,2,395.0,0.0,0.05414005957828,0.0,0.061710514580873135,0.0,0.06201404695996443,0.0,0.0681996303670825,0.0,0.500903,0.07423961,0.0042173127,1.19269e-05,0.004394636,0.0001356977,0.75530815,0.039078515,0.87495506,0.02761474,0.00025231414,6.690133e-06,0.0,0.0,0.0,0.0
random_interpolation,Random interpolation,1,394.0,0.0,0.004331321954456725,0.0,0.04302729969367017,0.0,0.04551773086615759,0.0,0.054119508232665786,0.0,0.6352327,0.05802829,0.003992948,0.00013415128,0.004259348,0.00030033285,0.88043505,0.022117907,0.9860671,0.09931172,0.00025947043,8.656465e-06,0.0,0.0,0.0038071065989847713,0.0017946872618947905
random_interpolation,Random interpolation,3,395.0,0.0,0.06820364224770101,0.0,0.07414075036189438,0.0,0.07364478137952085,0.0,0.08143586814130181,0.0,0.53951997,0.07360163,0.0040960344,9.530456e-05,0.004339163,0.00016796375,0.75171757,0.0010461269,0.8501893,0.09856433,0.0002373402,9.691614e-07,0.0,0.0,0.006329113924050633,0.0017901437498393604
retort_temperature_band,Withheld temperature band,2,547.0,0.0,0.08794238156289419,0.0,0.09801414409658013,0.0,0.09808462717675652,0.0,0.10747803556622158,0.0,0.7259873,0.0055156737,0.00445636,0.0005795564,0.0049270233,0.00069546315,0.46170443,0.06611351,0.5525536,0.1181126,0.0003260835,4.5496986e-06,0.0,0.0,0.0,0.0
retort_temperature_band,Withheld temperature band,3,547.0,0.0,0.10747842666251645,0.0,0.11692985818981139,0.0,0.11697430353281073,0.0,0.12637264689667974,0.0,0.68751216,0.0050870823,0.0047800625,0.00053071836,0.0052772444,0.0005838527,0.49882233,0.072339185,0.59431505,0.106642276,0.00035102863,9.549842e-06,0.0,0.0,0.0,0.0
retort_temperature_band,Withheld temperature band,1,547.0,0.0,0.023837892293850815,0.0,0.07110561383966765,0.0,0.07399736402903183,0.0,0.08783688370026102,0.0,0.674293,0.023882933,0.004168577,0.00036439573,0.0048472737,0.0007435317,0.43077236,0.051565383,0.5336753,0.11890741,0.0003025656,1.3766997e-05,0.0,0.0,0.0,0.0
retort_temperature_band,Withheld temperature band,4,548.0,0.0,0.12640956636232067,0.0,0.1401033968453004,0.0,0.1374076783152819,0.0,0.18950912044472087,0.0,0.7425897,0.013660595,0.0049639344,0.0005397964,0.005617877,0.0006220269,0.5036465,0.059764486,0.5983573,0.08583985,0.00037738887,3.612487e-06,0.0,0.0,0.0,0.0
high_temperature_short_heating_corner,Withheld high-T/short-time corner,3,110.0,0.0,0.1185215645563566,0.0,0.13264898011626194,0.0,0.13329321354780413,0.0,0.14825040958988195,0.0,0.50711596,0.059962954,0.0071774293,0.0007048524,0.0076023103,0.00023126371,1.5744561,0.23541105,1.6726396,0.106486455,0.00041199027,2.1175725e-05,0.0,0.0,0.0,0.0
high_temperature_short_heating_corner,Withheld high-T/short-time corner,2,110.0,0.0,0.09063202750163787,0.0,0.10357014447222083,0.0,0.10323118845582165,0.0,0.11787149764283135,0.0,0.48169687,0.050934255,0.006042598,0.000110741836,0.0063498216,0.000111197216,1.4421997,0.10483278,1.5734053,0.07059125,0.00041646822,3.627428e-05,0.0,0.0,0.0,0.0
high_temperature_short_heating_corner,Withheld high-T/short-time corner,1,110.0,0.0,0.02792583996605665,0.0,0.07181722692232415,0.0,0.07587553786074622,0.0,0.09050474190291657,0.0,0.4593004,0.040310554,0.005372551,1.9159694e-05,0.0057692993,0.00018858213,1.2176136,0.051186167,1.3421037,0.030039323,0.0003309992,2.8222953e-06,0.0,0.0,0.0,0.0
high_temperature_short_heating_corner,Withheld high-T/short-time corner,4,111.0,0.0,0.14826523541545747,0.0,0.1736028634638762,0.0,0.17103716514263728,0.0,0.2363411952604296,0.0,0.6563718,0.09818311,0.0087272795,0.0017452638,0.010136591,0.0008361586,1.8573915,0.44573748,1.9840751,0.010724687,0.00053227297,0.00010440836,0.0,0.0,0.0,0.0
domain_boundary_shell,Withheld domain boundaries,2,927.0,0.0,0.07658587177638598,0.0,0.08582926242816982,0.0,0.08598739863954961,0.0,0.09402059820166099,0.0,0.7185124,0.026756717,0.005683879,0.0001305571,0.0058703776,0.00054783595,1.2607164,0.07240921,1.6361842,0.3147357,0.00039201038,1.8993042e-06,0.0026968716289104636,0.0007627904867168799,0.0,0.0
